OrgId,OrgName,Kind,ClendorClientId,DeltekName,Score
75512,hcma Architecture,Architect,E3ACA05EE37943C6A2E91FEAB9B30EB0,KMA Architecture,0.882
8799,hcma architecture + design,Architect,7d1537293589432ea3191bdb41ecf15f,CTA Architecture & Design Ltd.,0.917
75995,"HDR | CEI Architecture Associates, Inc.",Architect,651F513E2AEF464EA7378F32AAAC4459,"HDR Architecture Associates, Inc.",0.871
75981,HDR Architecture,Architect,a211659b4fbc4013887802ad9246fb39,DF Architecture,0.875
76322,HGA Architects,Architect,5EA71CBBF09442108C5B1D5E6074FBF1,HMC Architects,0.857
76836,HRGA Architects,Architect,38396786DDD346DF9CF95BB2E693BDB4,RLA Architects Inc.,0.867
36196,Human Studio Architecture and Urban Design Ltd.,Architect,FE13A41EFEDB44119B2F9A1C3165458B,Human Studio Architecture + Urban Design,0.905
75864,IBI Group Architects,Architect,CL00058,BTY Group Architects,0.85
54314,IBI/ Henriquez Partners Architects,Architect,CL00482,Henriquez Partners Architects,0.879
23890,J+S Architect Inc.,Architect,e7c96cdeb88648d0bcd5ffd7b0363dd9,JC Architect Inc,0.917
36226,JALM Architecture Inc.,Architect,cef31ccbb1cb4e3a91cb3a5a9fcb6aac,JIM Architecture,0.882
76514,JM Architecture Inc.,Architect,cef31ccbb1cb4e3a91cb3a5a9fcb6aac,JIM Architecture,0.938
9987,JMAA architecture ltd.,Architect,864161bd3d1a4f8487b4955f6a01c114,JHA Architecture,0.882
26600,JP Architect Inc.,Architect,e7c96cdeb88648d0bcd5ffd7b0363dd9,JC Architect Inc,0.917
76407,JWDA,Architect,CL00620,JWDA Inc.,1
23748,JY Architecture Inc.,Architect,1fcff47a751b47a19628dae543186ca4,JYW Architecture Inc.,0.938
55064,Jyom Architecture,Architect,cef31ccbb1cb4e3a91cb3a5a9fcb6aac,JIM Architecture,0.882
75553,Kasian Architecture,Architect,1D186F8B3F6F41FE9AA7B32FE29E4ED9,Salikan Architecture Inc.,0.85
24650,Keck Architecture,Architect,2E9A6A188399401D93EB759F14ABE7C0,GEC Architecture,0.882
72062,Keystone Architecture and Planning,Architect,CL00487,Keystone Architecture & Planning,0.882
23161,KGW Architecture,Architect,CL00158,GGA - Architecture,0.875
72169,KMBR Architects Planners Inc.,Architect,C5694C7A98E947F8AD60B435C38F1E06,NORR Architects Planners,0.875
54775,Kohn Pederson Fox,Architect,CL00488,Kohn Pedersen Fox,0.941
25202,koka architecture,Architect,E3ACA05EE37943C6A2E91FEAB9B30EB0,KMA Architecture,0.882
20024,Koka Architecture + Design Inc.,Architect,1A3ECE47D623464598EC718A637C3337,AKA Architecture + Design,0.917
69765,KPMB Architects,Architect,CL00581,KMBR Architects,0.867
39482,KWC ARCHITECTS INC,Architect,5EA71CBBF09442108C5B1D5E6074FBF1,HMC Architects,0.857
48014,L7 Architecture Inc,Architect,CL00465,Co.lab Architecture,0.875
68891,LEVER Architecture,Architect,CL00454,Revery Architecture,0.895
70765,Lime Architecture Inc.,Architect,cef31ccbb1cb4e3a91cb3a5a9fcb6aac,JIM Architecture,0.882
68695,LMN Architects,Architect,8AD125221437485BBD9B90F70204D7C2,Amu Architects,0.857
76834,LPAS Architecture + Design,Architect,1A3ECE47D623464598EC718A637C3337,AKA Architecture + Design,0.875
19312,m squared Architecture Inc.,Architect,CL00528,b Squared Architecture Inc.,0.955
19517,m+ Architecture,Architect,5AD40D65095A4BFB9FAA98D39DECFDED,M2 Architecture Inc.,0.933
35011,M3 Architecture,Architect,5AD40D65095A4BFB9FAA98D39DECFDED,M2 Architecture Inc.,0.933
76279,Mallen Gowing Berzins Architecture (MGBA),Architect,CL00257,Mallen Gowing Berzins Architecture Inc.,0.872
71105,Matrix Architecture,Architect,2E239CFA084145B494F03A4C91F12A79,Metric Architecture,0.895
76001,MCM Architects,Architect,5EA71CBBF09442108C5B1D5E6074FBF1,HMC Architects,0.857
76689,MCMP Architects,Architect,CL00283,MMC International Architects,0.867
54736,MG Architecture Inc.,Architect,5AD40D65095A4BFB9FAA98D39DECFDED,M2 Architecture Inc.,0.933
75878,MGBA (Mallen Gowing Berzins Architecture),Architect,CL00257,Mallen Gowing Berzins Architecture Inc.,0.872
76607,MGBA Architecture Inc.,Architect,CL00158,GGA - Architecture,0.882
70154,MJMA Architecture & Design,Architect,1A3ECE47D623464598EC718A637C3337,AKA Architecture + Design,0.875
59405,MMP ARCHITECTS,Architect,CL00283,MMC International Architects,0.929
76725,Musson Cattell Mackay Partnership,Architect,CL00493,Musson Cattell Mackey Partnership,0.97
76254,Musson Cattell MacKay Partnership (MCM),Architect,CL00493,Musson Cattell Mackey Partnership,0.865
68885,NAC Architecture,Architect,CL00465,Co.lab Architecture,0.875
22706,Neoteric Architecture,Architect,2E239CFA084145B494F03A4C91F12A79,Metric Architecture,0.857
44082,O4 ARCHITECTURE LTD,Architect,a211659b4fbc4013887802ad9246fb39,DF Architecture,0.867
70601,OCA Architects,Architect,38396786DDD346DF9CF95BB2E693BDB4,RLA Architects Inc.,0.857
69272,OMB Architects,Architect,CL00581,KMBR Architects,0.867
21591,Orbis Architecture Inc.,Architect,D5A23642B273421BBAA62BFFB76C6A43,Orbis Archtecture Inc.,0.944
67871,P3A ARCHITECTURE,Architect,e67d66d431ff4d048f38825f63014e2a,BHA Architecture Inc.,0.875
70734,Pacific West Architecture,Architect,CL00498,Pacific Coast Architecture,0.885
76697,Pacific West Architecture Inc.,Architect,CL00498,Pacific Coast Architecture,0.885
74057,"PBK Architects, Inc.",Architect,CL00452,B+H Architects,0.857
13380,PGA Architects Ltd.,Architect,38396786DDD346DF9CF95BB2E693BDB4,RLA Architects Inc.,0.857
71084,ph5 Architecture,Architect,e67d66d431ff4d048f38825f63014e2a,BHA Architecture Inc.,0.875
76707,Raffi Architects,Architect,CL00500,Rafii Architects Inc.,0.938
69694,Ramsay Worden Architects,Architect,CL00501,Ramsay Worden Architects (RWA),0.857
76692,Ramsay Worden Architects Ltd.,Architect,CL00501,Ramsay Worden Architects (RWA),0.857
20545,"RATIO Architecture, Interior Design, Planning Inc.",Architect,CL00486,Kasian Architecture Interior Design & Planning,0.909
67222,RBM ARCHITECTURE INC.,Architect,cef31ccbb1cb4e3a91cb3a5a9fcb6aac,JIM Architecture,0.875
61459,RDH Architects Inc.,Architect,CL00452,B+H Architects,0.857
14294,Reid Architecture Ltd.,Architect,CL00074,CEI Architecture,0.882
71998,RH Architects,Architect,CL00452,B+H Architects,0.923
76821,RNT Architects,Architect,38396786DDD346DF9CF95BB2E693BDB4,RLA Architects Inc.,0.857
51610,ROOT ARCHITECTURE INC.,Architect,312C54275B714411AA5F27AB04830856,FORT Architecture,0.882
67934,RPL ARCHITECTS INC.,Architect,CL00154,GBL Architects Inc.,0.857
31069,Salal Architecture,Architect,1D186F8B3F6F41FE9AA7B32FE29E4ED9,Salikan Architecture Inc.,0.85
14963,SAS Architecture Ltd.,Architect,CL00465,Co.lab Architecture,0.875
26493,SG Architecture & Design INC.,Architect,1A3ECE47D623464598EC718A637C3337,AKA Architecture + Design,0.87
70625,SKALE Properties Inc,Buyer,B74CEF4B40974E24ACBAF61A2AF94BD7,Shape Properties Corp.,0.875
