category,job,kind,file
"01 Small Jobs","01379-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01379-01 (1200 Stewart St, Seattle, WA, USA - Peer Review)\05 Stickfile\01 Architectural\P1 Level.pdf"
"01 Small Jobs","01379-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01379-01 (1200 Stewart St, Seattle, WA, USA - Peer Review)\05 Stickfile\01 Architectural\Parking level.pdf"
"01 Small Jobs","01379-01","structural-issue","\\Kor-fs01\Projects\Projects\01 Small Jobs\01379-01 (1200 Stewart St, Seattle, WA, USA - Peer Review)\05 Stickfile\215369-Stickfile.pdf"
"01 Small Jobs","01380-02","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\01380-02 (266 East Esplanade Review)\05 Stickfile\01380-02 Feb26,20 IFC.pdf"
"01 Small Jobs","01389-01","structural-issue","\\Kor-fs01\Projects\Projects\01 Small Jobs\01389-01 (1146 Garden Drive, Vancouver)\05 Stickfile\01389 Struc Stickfile 2019-07-04.pdf"
"01 Small Jobs","01402-01","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\01402-01 (McIntosh Residence, 4623 Wickenden Road, North Vancouver)\05 Stickfile\TESTER99.pdf"
"01 Small Jobs","01543-01","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\01543-01 (3911 Edinburgh, Burnaby BC)\05 Stickfile\01543-01 2024-06-31 - 3911 Edinburgh - Record Drawings.pdf"
"01 Small Jobs","01543-01","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\01543-01 (3911 Edinburgh, Burnaby BC)\05 Stickfile\01543-03 2024-06-31 - 3911 Edinburgh - Pool - Record Drawings.pdf"
"01 Small Jobs","01554-01","structural-issue","\\Kor-fs01\Projects\Projects\01 Small Jobs\01554-01 (Craft Salt Building - New Stair & Platform)\05 Stickfile\01554 Struct Stickfile 2022-01-24.pdf"
"01 Small Jobs","01569-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01569-01 (216th Street & 83rd - Williams Pond Deck)\05 Stickfile\01 Architectural\19163 Landscape October 28 2022.pdf"
"01 Small Jobs","01569-01","structural-issue","\\Kor-fs01\Projects\Projects\01 Small Jobs\01569-01 (216th Street & 83rd - Williams Pond Deck)\05 Stickfile\01569-Stickfile-2022-11-01.pdf"
"01 Small Jobs","01576-01","other-stick","\\Kor-fs01\Projects\Projects\01 Small Jobs\01576-01 (788 Beatty St Safety Reinforcing Tiles)\05 Stickfile\01576-01 - 788 Beatty - BP - 2022-01-07.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\2021-10-13 - 21019 Geier Residence - Review.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-0.02 General Notes - A-0.02.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-1.00 Site Plan - A-1.00.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-1.01 Foundation Floor Plan - A-1.01.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-1.02 Lower Floor Plan - A-1.02.pdf"
"01 Small Jobs","01582-01","architectural","\\Kor-fs01\Projects\Projects\01 Small Jobs\01582-01 (Geier Residence BP Review)\05 Stickfile\01 Architectural\Architectural\A-1.02 Lower Floor Plan-A-1.02.pdf"
