category,job,folder,structural_issues,newest_issue_date,newest_date_from_name,newest_issue,other_stick_pdfs,architectural_pdfs,model_folder,e2k,edb
"03 Residential","31221-01","\\Kor-fs01\Projects\Projects\03 Residential\31221-01 (108 Ave Whalley Blvd Surrey)",0,"","","",1,0,"\\Kor-fs01\Projects\Projects\03 Residential\31221-01 (108 Ave Whalley Blvd Surrey)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"03 Residential","31222-01","\\Kor-fs01\Projects\Projects\03 Residential\31222-01 (3995 Fraser St Vancouver)",0,"","","",3,4,"\\Kor-fs01\Projects\Projects\03 Residential\31222-01 (3995 Fraser St Vancouver)\02 Engineering\02 Lateral Design\01 ETABS Models",0,1
"03 Residential","31223-01","\\Kor-fs01\Projects\Projects\03 Residential\31223-01 (Kaslo & Broadway Vancouver)",0,"","","",1,5,"\\Kor-fs01\Projects\Projects\03 Residential\31223-01 (Kaslo & Broadway Vancouver)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"03 Residential","31224-01","\\Kor-fs01\Projects\Projects\03 Residential\31224-01 (4445 West 10th Ave Vancouver)",1,"2026-07-29","yes","\\Kor-fs01\Projects\Projects\03 Residential\31224-01 (4445 West 10th Ave Vancouver)\05 Stickfile\31224-01 2026-07-29_4445 West 10th Ave_Str Stickfile.pdf",2,2,"\\Kor-fs01\Projects\Projects\03 Residential\31224-01 (4445 West 10th Ave Vancouver)\02 Engineering\02 Lateral Design\01 ETABS Models",0,3
"03 Residential","31225-01","\\Kor-fs01\Projects\Projects\03 Residential\31225-01 (5650 Beresford Burnaby)",0,"","","",1,0,"\\Kor-fs01\Projects\Projects\03 Residential\31225-01 (5650 Beresford Burnaby)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"03 Residential","31226-01","\\Kor-fs01\Projects\Projects\03 Residential\31226-01 (Church of Epiphany Surrey)",1,"2026-07-06","yes","\\Kor-fs01\Projects\Projects\03 Residential\31226-01 (Church of Epiphany Surrey)\05 Stickfile\31226-01 2026-07-06 Church of Epiphany Stickfile.pdf",1,2,"\\Kor-fs01\Projects\Projects\03 Residential\31226-01 (Church of Epiphany Surrey)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"03 Residential","31227-01","\\Kor-fs01\Projects\Projects\03 Residential\31227-01 (River District Parcel 33 Vancouver)",0,"","","",1,4,"\\Kor-fs01\Projects\Projects\03 Residential\31227-01 (River District Parcel 33 Vancouver)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"03 Residential","31228-01","\\Kor-fs01\Projects\Projects\03 Residential\31228-01 (River District Parcel 34 Vancouver)",0,"","","",1,0,"\\Kor-fs01\Projects\Projects\03 Residential\31228-01 (River District Parcel 34 Vancouver)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"03 Residential","31229-01","\\Kor-fs01\Projects\Projects\03 Residential\31229-01 (Quadra East Victoria BC)",1,"2026-07-21","yes","\\Kor-fs01\Projects\Projects\03 Residential\31229-01 (Quadra East Victoria BC)\05 Stickfile\31229-01 2026-07-21 Quadra East Victoria Stickfile.pdf",0,3,"\\Kor-fs01\Projects\Projects\03 Residential\31229-01 (Quadra East Victoria BC)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
"03 Residential","31230-01","\\Kor-fs01\Projects\Projects\03 Residential\31230-01 (1131 West 16th Ave Vancouver)",1,"2026-09-08","yes","\\Kor-fs01\Projects\Projects\03 Residential\31230-01 (1131 West 16th Ave Vancouver)\05 Stickfile\31230-01 2026-09-08 Montcalm Stickfile.pdf",1,2,"\\Kor-fs01\Projects\Projects\03 Residential\31230-01 (1131 West 16th Ave Vancouver)\02 Engineering\02 Lateral Design\01 ETABS Models",0,0
