LoserId,SurvivorId,Key,LoserName,LoserKind,LoserIntel,SurvivorName,SurvivorKind,SurvivorIntel,SurvivorClient
"20284","927808","senseengineering","Sense Engineering Ltd.","Competitor","2","Sense Engineering","Competitor","89",""
"4905","927792","cityspacesconsulting","CitySpaces Consulting Ltd.","Vendor","1","CitySpaces Consulting","Architect","23",""
"927759","70603","christinelintottarchitects","Christine Lintott Architects","Architect","0","Christine Lintott Architects Inc.","Architect","19",""
"927761","927807","sebaconstruction","Seba Construction","Developer","0","Seba Construction Ltd.","GC","2",""
