Domain,Tier,Members,Orgs
"sdccd.edu","U1","3","69141 San Diego Community College District | 76809 San Diego Community College District — Measure HH | 77479 San Diego Community College District (SDCCD)"
"dgs.ca.gov","U1","3","76858 California Dept. of General Services (DGS) | 77507 California Department of General Services (DGS) — Real Estate Services Division | 77508 California Division of the State Architect (DSA)"
"francosud.ca","U1","2","247 Southern Francophone Region (Francosud) | 72052 Conseil scolaire FrancoSud"
"vancouver.ca","U1","2","399 City of Vancouver | 22282 Vancouver Park Board"
"sd68.bc.ca","U1","3","69034 SD68 Nanaimo-Ladysmith School District | 77422 School District 68 Nanaimo-Ladysmith | 77771 Nanaimo-Ladysmith Public Schools (SD68)"
"ofm.wa.gov","U1","4","77513 Washington State University (WSU) — Pullman and branch campuses | 77529 Cascadia College (Bothell, WA) | 77530 Edmonds College (Lynnwood, WA) | 77546 Clark College (Vancouver, WA)"
"bc.anglican.ca","U1","2","77858 Anglican Diocese of British Columbia — St. John the Divine Victoria (Wellness House) | 77859 Anglican Diocese of British Columbia — St. John the Baptist Duncan (Housing Project)"
"tsawout.ca","U1","2","53842 Tsawout First Nation | 75928 Tsawout First Nation (SȾÁUTW̱)"
"rdco.com","U1","2","627 Regional District of Central Okanagan | 38976 Accessibility Standards Canada | Normes d’accessibilité Canada"
"parks.canada.ca","U2","3","32326 Parks Canada | 49390 Parks Canada | Parcs Canada | 55088 Moody Centre TOD partnership"
"cedars-sinai.org","U1","2","68832 Cedars-Sinai | 77562 Cedars-Sinai Medical Center (Los Angeles)"
"sd61.bc.ca","U1","2","69036 SD61 Greater Victoria School District | 77419 School District 61 Greater Victoria"
"saanichschools.ca","U1","2","70308 SD63 Saanich School District | 77421 School District 63 Saanich"
"acrd.bc.ca","U1","2","70321 Alberni-Clayoquot Regional District (ACRD) | 76364 Alberni-Clayoquot Regional District"
"rdcrs.ca","U1","2","71225 Red Deer Catholic Regional Schools | 77440 Red Deer Catholic Regional Division"
"sd43.bc.ca","U1","3","76180 SD43 Coquitlam School District | 77413 School District 43 Coquitlam | 77774 Coquitlam School District No. 43 (SD43)"
