LoserId,SurvivorId,Key,LoserName,LoserKind,LoserIntel,SurvivorName,SurvivorKind,SurvivorIntel,SurvivorClient
"272357","54375","dambrosioarchitectureandurbanism","D'Ambrosio Architecture and Urbanism","Architect","0","D'Ambrosio Architecture + Urbanism","Architect","34","DELTEK"
"36196","69775","humanstudioarchitectureandurbandesign","Human Studio Architecture and Urban Design Ltd.","Architect","3","Human Studio Architecture + Urban Design","Architect","7","DELTEK"
"70291","74052","emilycarruniversityofartanddesign","Emily Carr University of Art and Design","Buyer","3","Emily Carr University of Art + Design","Buyer","6",""
"271554","69122","prosceniumarchitectureandinteriors","Proscenium Architecture and Interiors Inc.","Architect","0","Proscenium Architecture + Interiors","Architect","8",""
"76869","76834","lpasarchitectureanddesign","LPAS Architecture and Design","Architect","3","LPAS Architecture + Design","Architect","4",""
"272369","271639","scbandhenninglarsen","SCB and Henning Larsen","Architect","0","SCB + Henning Larsen","Architect","0",""
