Id,NewKind,Name
5182,Architect,"Compass Rose Landscape Architecture"
52356,Architect,"CONFLUENCE ARCHITECTURE INC."
29098,Architect,"Continuum Architecture Inc"
19083,Architect,"Contoura Architecture Ltd."
24737,Developer,"Conwest Development Ltd"
64745,Architect,"COOKE NAVAL ARCHITECT"
64913,Architect,"COOLEARTH ARCHITECTURE INC"
60393,Developer,"Co-Operative Development Foundation"
36898,Developer,"Copperleaf Developments Ltd."
22950,Architect,"Core Architects Inc."
51463,Developer,"CORNWALLIS COURT DEVELOPMENTS"
37402,Developer,"Coromandel Wilmar Development BT Ltd"
46493,Developer,"COUNTRYSIDE HOMES"
34454,Developer,"CPOS Development Corp"
23312,Developer,"Crescent Quality Homes"
35299,Developer,"Cresco Development Inc"
20061,Developer,"Cressey Developments"
51464,Developer,"CROMBIE DEVELOPMENTS LIMITED"
35748,Developer,"Cross Rivers Construction Homes Ltd."
5584,Architect,"Croy D. Yee Architects"
5608,Developer,"C'Stay Developments Ltd."
5662,Architect,"Cushing Terrell Architecture Inc (Cushing Terrell)"
22122,Developer,"Custom Royal Development"
25335,Architect,"Cutler Architecture Ltd."
20106,Developer,"Cyanic Developments Inc"
40986,Developer,"DA DAGHAY DEVELOPMENT CORPORATION"
34858,Developer,"Dan Perrault Homes Ltd"
26563,Architect,"Daniel Clarke Architect"
5826,Developer,"Daventry Developments Ltd."
56067,Developer,"David Berman Developments Inc."
25304,Architect,"David Danyluck Architect"
19132,Architect,"David S Mah Architect"
35802,Developer,"Dayu Development"
21712,Developer,"DB Monarch Development Inc."
23394,Developer,"dba B-Side Developments Ltd"
33284,Architect,"DC Architecture"
67272,Architect,"DCA ARCHITECTS INC."
19367,Architect,"DCYT Architecture"
5930,Developer,"DeAngelis Development Corp"
38201,Developer,"Deecorp Properties Ltd"
59656,Developer,"DELWISCH DEVELOPMENTS LTD"
26981,Developer,"Dema Developments Ltd."
32912,Developer,"Desakota Developments"
66351,Architect,"Design Plus Architecture Inc"
52704,Developer,"DEVCO DEVELOPMENT CORP."
33306,Developer,"Devine Homes Ltd. (Contractor)"
6194,Developer,"Diamond Rock Developments Inc."
20597,Architect,"Dimas Craveiro Architect"
27513,Developer,"Diseno Development Corp"
51514,Developer,"DISHER HOMES LTD"
66430,Developer,"Ditidaht Development Corporation"
34305,Developer,"DKJ Development"
20511,Architect,"DLP Architecture Inc"
49044,Developer,"DOLYN DEVELOPMENT INC."
40541,Developer,"DOLYN DEVELOPMENTS INC."
20876,Architect,"Dominic Sy Architect"
46886,Developer,"Don Saywell Development Ltd"
48580,Developer,"Don Saywell Developments Canada"
46645,Developer,"Don Saywell Developments Ltd"
26983,Developer,"DREAM STORIES CUSTOM HOMES"
63264,Architect,"Dreessen Architects"
46798,Architect,"Dreessen Cardinal Architects Inc"
63303,Architect,"Dressen Cardinal Architects"
66201,Architect,"DSRA Architecture Inc."
32365,Developer,"Duric Development  Ltd."
57692,Developer,"DVP HOTEL DEVELOPMENT LP"
6497,Developer,"Dynamic Business Development Ltd."
50302,Developer,"EA DEVELOPMENTS LTD."
6536,Developer,"EAD Development Partnership Evaluated Score = 89.30"
59255,Developer,"EAGLE RIVER DEVELOPMENT ASSOCIATION"
6560,Developer,"Early Childhood Development Support Services"
31398,Developer,"Eclectic Edge Developments Inc"
30419,Architect,"Ed Berwick Architects"
27968,Architect,"Eitaro Hirota Architecture Inc."
56857,Developer,"ELHDAQOX DEVELOPMENTS LTD."
20898,Architect,"Elizabeth MacKenzie Architect"
64579,Developer,"ELLIS INSTRUMENTATION DEVELOPMENT"
31968,Architect,"Ellison Architecture"
19666,Developer,"Elysium Homes Ltd"
20838,Developer,"Embark Homes LTD"
20722,Developer,"Empire West Properties Ltd."
45394,Developer,"Engineering Project Developments"
20891,Developer,"Entice Developments Ltd."
7055,Developer,"Envy Developments LTD"
