GroupKey,SurvivorId,SurvivorName,SurvivorKind,LoserId,LoserName,LoserKind,FkRefsRepointed
artemppersonnelservices,39161,ARTEMP PERSONNEL SERVICES INC.,Vendor,72725,ARTEMP PERSONNEL SERVICES,Vendor,2
ascenseurslumar,55305,ASCENSEURS LUMAR,Vendor,72999,ASCENSEURS LUMAR INC,Vendor,4
ascribemarketingcommunications,62242,ASCRIBE MARKETING COMMUNICATIONS,Vendor,72596,Ascribe Marketing Communications Inc.,Vendor,2
asokanbusinessinteriors,39104,ASOKAN BUSINESS INTERIORS INC.,Vendor,72815,Asokan Business Interiors,Vendor,5
assaabloyentrancesystemscanada,40991,ASSA ABLOY ENTRANCE SYSTEMS CANADA INC.,Vendor,73701,Assa Abloy Entrance Systems Canada,Vendor,3
atcostructureslogistics,2763,ATCO Structures & Logistics Ltd,Vendor,73250,ATCO STRUCTURES & LOGISTICS,Vendor,52
atkinsréaliscanada,2775,ATKINSRÉALIS CANADA INC,Vendor,73379,AtkinsRéalis Canada,Vendor,6
atlanticbusinessinteriors,51917,Atlantic Business Interiors Limited,Vendor,73655,ATLANTIC BUSINESS INTERIORS,Vendor,3
atlanticroofers,46787,Atlantic Roofers Limited,Vendor,73438,ATLANTIC ROOFERS LTD,Vendor,2
atlanticundergroundservices,50542,Atlantic Underground Services,Vendor,73650,ATLANTIC UNDERGROUND SERVICES LTD,Vendor,3
atlasapexroofing,46701,Atlas- Apex Roofing Inc.,Vendor,73695,ATLAS-APEX ROOFING,Vendor,4
atlishumanresources,40153,ATLIS HUMAN RESOURCES INC.,Vendor,73135,ATLIS HUMAN RESOURCES,Vendor,3
avernatechnologies,40343,AVERNA TECHNOLOGIES INC.,Vendor,73331,AVERNA TECHNOLOGIES,Vendor,2
baiameconsulting,56175,Baiame Consulting,Vendor,72682,BAIAME CONSULTING LTD.,Vendor,3
baiametechnologyandconsulting,72550,Baiame Technology and Consulting,Vendor,55776,BAIAME TECHNOLOGY AND CONSULTING LTD.,Vendor,3
balodis,43321,BALODIS INC.,Vendor,73638,Balodis Incorporated,Vendor,5
bangthetablecanada,2997,Bang the Table Canada Limited,Vendor,72510,BANG THE TABLE CANADA LTD,Vendor,4
barbaramcneilassociates,3022,Barbara McNeil & Associates,Vendor,73028,Barbara McNeil & Associates Ltd.,Vendor,3
basincontracting,48507,Basin Contracting Ltd,GC,73649,BASIN CONTRACTING LIMITED,Vendor,2
bbaengineering,3085,BBA Engineering,Vendor,73319,BBA ENGINEERING LTD,Vendor,2
bdocanada,3109,BDO Canada LLP,Vendor,72635,BDO Canada Limited,Vendor,2
bdwroofing,44780,BDW ROOFING LTD,Vendor,73558,BDW ROOFING INC,Vendor,2
belangerconsulting,60525,Belanger Consulting LTD,Vendor,73341,BELANGER CONSULTING,Vendor,3
bellebayconstruction,42966,BELLEBAY CONSTRUCTION INC,GC,73416,BELLEBAY CONSTRUCTION,Vendor,2
bellmobility,3180,Bell Mobility Inc,Vendor,72919,BELL MOBILITY,Vendor,3
bennettsconstructionsupplies,42674,BENNETT'S CONSTRUCTION & SUPPLIES LTD,Vendor,73619,BENNETT'S CONSTRUCTION & SUPPLIES,Vendor,4
beyond2020,57316,BEYOND 20/20 INC,Vendor,72658,BEYOND 20/20,Vendor,4
bgcengineering,69559,BGC Engineering,Subcontractor,72997,BGC ENGINEERING INC.,Vendor,4
birdconstruction,54928,Bird Construction Inc.,GC,73402,Bird Construction Group,Vendor,31
birddesignbuildconstruction,3361,Bird Design-Build Construction Inc.,GC,73409,Bird Design-Build Construction,Vendor,2
blackandmacdonald,63697,Black and MacDonald Ltd,Vendor,73419,BLACK AND MACDONALD LIMITED,Vendor,2
blackandmcdonald,3395,Black and McDonald Ltd,Vendor,73433,BLACK AND MCDONALD LIMITED,Vendor,2
blackgoldpaveseal,51736,BLACK GOLD PAVE&SEAL INC,Vendor,73517,BLACK GOLD PAVE & SEAL,Vendor,2
blackmacdonald,46589,Black & MacDonald Ltd,Vendor,73411,Black & MacDonald,Vendor,6
blackmacdonald,46589,Black & MacDonald Ltd,Vendor,73426,Black & MacDonald Limited,Vendor,24
blackmcdonald,3387,Black & McDonald Ltd,Vendor,73291,BLACK & MCDONALD LIMITED,Vendor,12
blackmcdonald,3387,Black & McDonald Ltd,Vendor,73509,BLACK & MCDONALD,Vendor,10
blackpress,63466,Black Press Group,Vendor,73412,Black Press Group Ltd,Vendor,2
blueskystrategy,62660,BLUESKY STRATEGY GROUP,Vendor,72734,BLUESKY STRATEGY GROUP INC,Vendor,3
blueskystrategy,62660,BLUESKY STRATEGY GROUP,Vendor,73170,BLUESKY STRATEGY GROUP INCORPORATED,Vendor,4
bmbconsultingservices,57309,BMB CONSULTING SERVICES INC.,Vendor,72899,BMB CONSULTING SERVICES,Vendor,3
bordenladnergervais,3557,BORDEN LADNER GERVAIS LLP,Vendor,73356,BORDEN LADNER GERVAIS,Vendor,7
bostonconstruction,43596,BOSTON CONSTRUCTION CORPORATION,GC,73654,BOSTON CONSTRUCTION CORP,Vendor,2
bridgehousing,68654,BRIDGE Housing Corporation,Developer,73743,BRIDGE Housing,Developer,1
bronsonconsulting,56826,BRONSON CONSULTING GROUP,Vendor,72641,Bronson Consulting Group Inc.,Vendor,2
bryconconstruction,49421,Brycon Construction Limited,Vendor,73675,BRYCON CONSTRUCTION LTD,Vendor,2
businesssherpa,64864,BUSINESS SHERPA GROUP INC.,Vendor,73181,BUSINESS SHERPA GROUP,Vendor,3
bvlinvestments,50359,BVL INVESTMENTS,Vendor,73705,BVL Investments Ltd.,Vendor,2
calgaryarchives,3992,Calgary Archives,Vendor,73493,CALGARY ARCHIVES CORP.,Vendor,2
calian,4019,Calian Ltd,Vendor,72654,CALIAN,Vendor,76
calian,4019,Calian Ltd,Vendor,73435,Calian Group,Vendor,3
canadaworks,62461,CANADA WORKS LTD.,Vendor,73345,CANADA WORKS INC.,Vendor,2
canadiannationalrailway,69628,Canadian National Railway,Buyer,73290,CANADIAN NATIONAL RAILWAY COMPANY,Vendor,2
cannonbyeconstruction,40176,CANNONBYE CONSTRUCTION LTD,GC,73633,Cannonbye Construction,Vendor,6
capitalofficeinteriors,39197,CAPITAL OFFICE INTERIORS LTD.,Vendor,73591,CAPITAL OFFICE INTERIORS LIMITED,Vendor,4
carahsofttechnology,4324,Carahsoft Technology Corp,Vendor,73193,CARAHSOFT TECHNOLOGY CORPORATION,Vendor,4
carlsonconstruction,71167,Carlson Construction,GC,73590,Carlson Construction Ltd.,Vendor,5
carmichaelengineering,39832,CARMICHAEL ENGINEERING LTD,Vendor,73392,CARMICHAEL ENGINEERING LIMITED,Vendor,7
cascadianstructuralengineering,71032,Cascadian Structural Engineering Inc.,Competitor,73312,CASCADIAN STRUCTURAL ENGINEERING,Vendor,2
casolakoppe,69636,Casola Koppe,Architect,72812,Casola Koppe Architects Ltd.,Vendor,10
castlerockconstruction,4454,Castle Rock Construction,GC,73669,CASTLE ROCK CONSTRUCTION LTD.,Vendor,4
castlerockenterprises,42268,CASTLE ROCK ENTERPRISES,Vendor,73700,Castle Rock Enterprises Limited,Vendor,2
catherinegagnearchitecte,65439,CATHERINE GAGNE ARCHITECTE,Vendor,73212,CATHERINE GAGNE ARCHITECTE INC.,Vendor,3
cbcitelecom,51367,CBCI TELECOM,Vendor,73257,CBCI TELECOM INC.,Vendor,5
cbcl,40886,CBCL LIMITED,Vendor,73414,CBCL Ltd.,Vendor,4
cdwcanada,4540,CDW CANADA INC,Vendor,73552,CDW CANADA,Vendor,2
celerityengineering,69551,Celerity Engineering,Subcontractor,73304,CELERITY ENGINEERING LIMITED,Vendor,3
century,69751,Century Group,Buyer,72720,CENTURY GROUP INC,Vendor,6
cfmservices,46563,cfm services,Vendor,73004,CFM SERVICES INC.,Vendor,3
chandosconstruction,4708,Chandos Construction Ltd.,GC,73589,CHANDOS CONSTRUCTION LP,Vendor,23
charronhumanresources,55230,CHARRON HUMAN RESOURCES INC.,Vendor,73258,CHARRON HUMAN RESOURCES,Vendor,4
cheminfoservices,4756,Cheminfo Services Inc.,Vendor,72655,CHEMINFO SERVICES,Vendor,4
cintascanada,4865,Cintas Canada,Vendor,73315,CINTAS CANADA LIMITED,Vendor,3
clarkconstruction,54950,"Clark Construction Group, LLC",GC,73710,Clark Construction Co. LTD.,Vendor,2
clelandjardineengineering,45944,Cleland Jardine Engineering Ltd,Vendor,72810,CLELAND JARDINE ENGINEERING LIMITED,Vendor,7
climaterisksolutions,65804,CLIMATE RISK SOLUTIONS LTD,Vendor,72889,CLIMATE RISK SOLUTIONS,Vendor,2
clotureprovinciale,53201,CLOTURE PROVINCIALE INC,Vendor,73481,CLOTURE PROVINCIALE,Vendor,2
coastalconservation,42618,Coastal Conservation Inc,Vendor,73055,Coastal Conservation,Vendor,3
coastalrestorationmasonry,46844,Coastal Restoration & Masonry Ltd,Vendor,73626,COASTAL RESTORATION & MASONRY,Vendor,62
codenext,63998,CodeNext,Vendor,72793,CodeNext Inc.,Vendor,3
cohlmeyer,67996,COHLMEYER ARCHITECTURE LIMITED,Architect,72796,COHLMEYER ARCHITECTS LIMITED,Vendor,3
colbournekembel,63194,Colbourne & Kembel Architects Inc.,Architect,73453,COLBOURNE & KEMBEL ARCHITECTS,Vendor,2
colinlindsaydevelopment,59032,COLIN LINDSAY DEVELOPMENT,Developer,72525,COLIN LINDSAY DEVELOPMENT CORP.,Vendor,2
colliersprojectleaders,70132,Colliers Project Leaders Inc.,Architect,73474,Colliers Project Leaders,Vendor,2
connextelecommunications,5267,Connex Telecommunications,Vendor,72640,Connex Telecommunications Inc,Vendor,2
constructioncouturetanguay,52665,CONSTRUCTION COUTURE & TANGUAY INC.,Vendor,73543,CONSTRUCTION COUTURE & TANGUAY,Vendor,2
constructionlmorin,41216,CONSTRUCTION L MORIN,Vendor,73635,Construction L. Morin Inc,Vendor,2
contractcommunity,38985,Contract Community Inc.,Vendor,72892,CONTRACT COMMUNITY,Vendor,4
controlledenvironments,5323,CONTROLLED ENVIRONMENTS LTD,Vendor,73297,CONTROLLED ENVIRONMENTS LIMITED,Vendor,2
converginttechnologies,5337,Convergint Technologies LTD,Vendor,73514,CONVERGINT TECHNOLOGIES,Vendor,8
conversartconsulting,55207,CONVERSART CONSULTING LTD,Vendor,72476,ConversArt Consulting Limited,Vendor,5
coradixtechnologyconsulting,56642,CORADIX TECHNOLOGY CONSULTING LTD,Vendor,73271,CORADIX TECHNOLOGY CONSULTING,Vendor,3
coradixtechnologyconsulting,56642,CORADIX TECHNOLOGY CONSULTING LTD,Vendor,73407,Coradix Technology Consulting Inc.,Vendor,5
coretracks,72647,CoreTracks Inc.,Vendor,72649,CoreTracks,Vendor,2
corkumselectricalsalesservice,46850,Corkum's Electrical Sales & Service Ltd.,Vendor,73707,CORKUM'S ELECTRICAL SALES & SERVICE,Vendor,4
corrosionservice,5423,Corrosion Service Company Ltd.,Vendor,72799,CORROSION SERVICE COMPANY,Vendor,5
couplandkraemer,72827,COUPLAND KRAEMER ARCHITECTURE,Vendor,5463,Coupland Kraemer,Vendor,6
courageousleadershipproject,61901,COURAGEOUS LEADERSHIP PROJECT LIMITED,Vendor,73276,COURAGEOUS LEADERSHIP PROJECT,Vendor,2
