Id,Kind,OldName,NewName
13478,Vendor,"Platinum Engineering Ltd. Bid has not been reviewed for compliance","Platinum Engineering Ltd"
13491,Vendor,"PlayWorks Inc. Weighted Evaluation","PlayWorks Inc"
13578,Vendor,"Powerland Computers Contract awarded for Eaton & HP products","Powerland Computers"
13665,Vendor,"Predictive Maintenance Corp. Successful Proponent","Predictive Maintenance Corp"
13681,Vendor,"Presentation Partner Lowest Bid Received","Presentation Partner Lowest"
13695,Vendor,"PricewaterhouseCoopers LLP Awarded","PricewaterhouseCoopers LLP"
13823,Vendor,"PROSCI CANADA, ULC Contract awarded to highest scoring bidder.","PROSCI CANADA, ULC"
13979,Vendor,"Questic Contracting Ltd Weighted Evaluation","Questic Contracting Ltd"
13995,Vendor,"R & E Elevator LTd Awarded","R & E Elevator LTd"
14030,Vendor,"R.EX Contracting Ltd. Awarded","R.EX Contracting Ltd"
14192,Vendor,"Realsphere Real Estate Services (Realsphere Property Group) Bid received in evaluation","Realsphere Real Estate Services (Realsphere Property Group)"
14235,Vendor,"Red Oak Construction Ltd. Weighted Evaluation","Red Oak Construction Ltd"
14249,Vendor,"Redco Restoration Specialists Ltd Successful Prequalified Respondent","Redco Restoration Specialists Ltd"
14272,Vendor,"RE-EM TRANSPORTATION SERVICES LTD. Bid received","RE-EM TRANSPORTATION SERVICES LTD"
14321,Vendor,"ReLumen Engineering Inc. The short listed firms for this EOI were invited to submit a bid in response to the Invitational RFP. Invitational RFP's are not posted on APC so the Bid Results and RFP award information can be found under this Public EOI.","ReLumen Engineering Inc"
14322,Vendor,"ReLumen Engineering Incorporated The short listed firms for this VRAES-EOI were invited to submit a proposal in response to the Invitational RFP. Invitational RFP's are not posted on APC so the award information can be found under this VRAES-EOI.","ReLumen Engineering Incorporated"
14461,Vendor,"RideShark Corporation proposal received not reviewed for Compliancy or Evaluated","RideShark Corporation"
14584,Vendor,"Robertson Surrette Group (Knightsbridge Robertson Surrette) Pre-qualified Vender","Robertson Surrette Group (Knightsbridge Robertson Surrette)"
14643,Vendor,"Rocky Mountain Phoenix (Rocky Mountain Phoenix) Contract Awarded","Rocky Mountain Phoenix (Rocky Mountain Phoenix)"
14861,Vendor,"S.i.Systems Partnership (S.i.Systems) Tier 1 - Standing Offer Contact Awarded","S.i.Systems Partnership (S.i.Systems) Tier 1 - Standing Offer Contact"
14866,Vendor,"S.M.A. Consulting Ltd Successful Proponent","S.M.A. Consulting Ltd"
14924,Vendor,"Sameng Inc. Successful Proponent","Sameng Inc"
15000,Vendor,"Scandinavian Building Services Ltd. Received not reviewed for compliancy","Scandinavian Building Services Ltd"
15195,Vendor,"SENA Solid Waste Holdings Inc. (SENA Waste Services) bid received not reviewed for compliancy","SENA Solid Waste Holdings Inc. (SENA Waste Services)"
15196,Vendor,"SENA Solid Waste Holdings Inc. Bid received not evaluated or reviewed for compliancy","SENA Solid Waste Holdings Inc"
15245,Vendor,"Seven M Construction Ltd. Weighted Evaluation","Seven M Construction Ltd"
15254,Vendor,"SG Landscaping Ltd. Weighted evaluation","SG Landscaping Ltd"
15255,Vendor,"SG Landscaping Weighted Evaluation","SG Landscaping"
15312,Vendor,"Shawne Excavation and Trucking Ltd. Prequalified","Shawne Excavation and Trucking Ltd"
15328,Vendor,"Shelter Industries Inc. bid received","Shelter Industries Inc"
15476,Vendor,"Skeans Pneumatic & Automation Inc fully awarded","Skeans Pneumatic & Automation Inc fully"
15492,Vendor,"SkyFire Energy Inc. Weighted Evaluation","SkyFire Energy Inc"
15531,Vendor,"SMITH & ANDERSON (CALGARY) LTD. The short listed firms for this RFQ were invited to submit a proposal in response to the Invitational RFP. Invitational RFPs are not posted on APC so the RFP award information can be found under this RFQ.","SMITH & ANDERSON (CALGARY) LTD"
15592,Vendor,"Softline Solutions AB Inc. Weighted Evaluation","Softline Solutions AB Inc"
15736,Vendor,"space2place design inc. Weighted Evaluation","space2place design inc"
15753,Vendor,"Sparta Innovations Inc. Weighted Evaluation","Sparta Innovations Inc"
15845,Vendor,"spruce hill tree movers ltd received not reviewed for Compliancy","spruce hill tree movers ltd"
15902,Vendor,"Standard General Inc. Bids have not been reviewed for compliancy or calculation errors","Standard General Inc"
15905,Vendor,"Standard General Inc. Weighted evaluation.","Standard General Inc"
15906,Vendor,"Standard General Prequalified for Maint. & Road Program","Standard General"
15922,Vendor,"Stanley Construction Ltd. Bids have not been reviewed for compliancy or calculation errors. Bid amount GST NOT included.","Stanley Construction Ltd"
15924,Vendor,"Stanley Construction Ltd. Pre-Qualified","Stanley Construction Ltd"
15935,Vendor,"Stantec Awarded","Stantec"
15947,Vendor,"Stantec Consulting Ltd Successful Proponent","Stantec Consulting Ltd"
15952,Vendor,"Stantec Consulting Ltd. contract awarded","Stantec Consulting Ltd"
15957,Vendor,"Stantec Consulting Ltd. Successful Vendor","Stantec Consulting Ltd"
15958,Vendor,"Stantec Consulting Ltd. The short listed firms for this RFQ were invited to submit a proposal in response to the Invitational RFP. Invitational RFPs are not posted on APC so the RFP award information can be found under this RFQ.","Stantec Consulting Ltd"
15959,Vendor,"Stantec Consulting Ltd. Weighted Evaluation","Stantec Consulting Ltd"
15964,Vendor,"Stantec Consulting Red Deer Awarded","Stantec Consulting Red Deer"
16087,Vendor,"STEWART BROTHERS NURSERIES LTD. Bid received; not yet reviewed for compliance","STEWART BROTHERS NURSERIES LTD"
16108,Vendor,"Stirling Construction Ltd. 33% of Contract Awarded","Stirling Construction Ltd. 33% of"
16184,Vendor,"Stuart Olson Construction Ltd. The short listed firms for this RFQ were invited to submit a proposal in response to the Invitational RFP. Invitational RFPs are not posted on APC. The RFP award information can be found under this RFQ.","Stuart Olson Construction Ltd"
16186,Vendor,"Stuart Olson Dominion Construction Ltd. Prequalified to bid this project","Stuart Olson Dominion Construction Ltd"
16187,Vendor,"Stuart Olson Dominion Construction Ltd. Weighted Evaluation","Stuart Olson Dominion Construction Ltd"
16320,Vendor,"Sureway Construction Management Ltd Weighted evaluation","Sureway Construction Management Ltd"
16321,Vendor,"Sureway COnstruction Management Ltd. Pre-Qualified For Tender","Sureway COnstruction Management Ltd"
16392,Vendor,"Synergy Projects Ltd. Prequalified to bid this project","Synergy Projects Ltd"
16443,Vendor,"T.G.A. Think Green Alberta Ltd. Received not reviewed for compliancy","T.G.A. Think Green Alberta Ltd"
16702,Vendor,"Tetra Tech EBA Inc. (Tetra Tech EBA) Awarded","Tetra Tech EBA Inc. (Tetra Tech EBA)"
16705,Vendor,"Tetra Tech EBA Inc. Awarded","Tetra Tech EBA Inc"
16707,Vendor,"Tetra Tech EBA Inc. Weighted Evaluation","Tetra Tech EBA Inc"
17141,Vendor,"Toshiba Business Solutions Successful Vendor","Toshiba Business Solutions"
17192,Vendor,"Track N Trail Bids have not been reviewed for compliance","Track N Trail"
17413,Vendor,"Tundra Process Solutions Contract awarded to the","Tundra Process Solutions"
17548,Vendor,"Unisync Group Limited Unisync has been awarded","Unisync Group Limited Unisync has been"
17614,Vendor,"Universal Safety inc. Successful Proponent","Universal Safety inc"
17652,Vendor,"Urban Systems Ltd. Awarded","Urban Systems Ltd"
17654,Vendor,"Urban Systems Ltd. Successful Proponent","Urban Systems Ltd"
17780,Vendor,"VeloTrack Successful proposal","VeloTrack"
17785,Vendor,"Venture Elevator Inc. Successful Proponent","Venture Elevator Inc"
17819,Vendor,"Vertical Building Solutions Weighted Evaluation","Vertical Building Solutions"
17856,Vendor,"Viessmann Group/BIOFerm(tm) USA, Inc. Weighted Evaluation","Viessmann Group/BIOFerm(tm) USA, Inc"
18115,Vendor,"WayTo Integration & Consulting Services Inc. Successful Proponent","WayTo Integration & Consulting Services Inc"
18152,Vendor,"Weinrich Contracting Ltd Bid received","Weinrich Contracting Ltd"
18153,Vendor,"Weinrich Contracting Ltd Bids have not been reviewed for compliancy or calculation errors","Weinrich Contracting Ltd"
18211,Vendor,"West Direct Express Ltd. based on the best value for the City of Airdrie the successful vendor is West Direct","West Direct Express Ltd. based on the best value for the City of Airdrie the"
18289,Vendor,"Western Golf Works LLC bid has not been reviewed for compliancy or calculation errors","Western Golf Works LLC"
18304,Vendor,"Western Management Consultants bids have not been reviewed for compliancy or calculation errors”","Western Management Consultants"
18370,Vendor,"Westvac Industrial Ltd. Based on the highest evaluate score West Vac Industries was the successful Proponent","Westvac Industrial Ltd. Based on the highest evaluate score West Vac Industries was the"
18448,Vendor,"Wilco Contractors Norhtwest Inc. Weighted Evaluation","Wilco Contractors Norhtwest Inc"
18451,Vendor,"Wilco Contractors Northwest Inc Weighted Evaluation","Wilco Contractors Northwest Inc"
18453,Vendor,"Wilco Contractors Northwest Inc. Bids have not been reviewed for compliancy or calculation errors. Bid Amount does not include GST","Wilco Contractors Northwest Inc"
18488,Vendor,"Williams Scotsman of Canada Inc. Weighted Evaluation","Williams Scotsman of Canada Inc"
18516,Vendor,"Windward Landtec Inc. Weighted Evaluation","Windward Landtec Inc"
18602,Vendor,"Workfront, Inc. Contract Awarded","Workfront, Inc"
18624,Vendor,"WorleyParsons Canada Services Ltd Weighted Evaluation","WorleyParsons Canada Services Ltd"
18649,Vendor,"WS Machining & Fabrication (Urban Park) Bids have not been reviewed for compliance","WS Machining & Fabrication (Urban Park)"
18735,Vendor,"Yellow Pencil Inc Awarded","Yellow Pencil Inc"
18740,Vendor,"Yesco electronics llc Successful Proponent","Yesco electronics llc"
