JvId,DisplayName,WantedPrimary
71000,"RainCity Housing and Support Society / BC Housing","RainCity Housing and Support Society"
71003,"MCC Legacy Trust / Pacific Centre for Discipleship (PCDA)","MCC Legacy Trust"
71006,"Beedie Group (owner) / MEC Mountain Equipment Company (tenant)","Beedie Group"
71010,"Tomo Spaces / Golden Properties Ltd.","Tomo Spaces"
71016,"Hines / PC Urban","Hines"
71036,"City of Burnaby / School District 41","School District 41"
71042,"Strand Development / Locarno","Strand Development"
71056,"Shared Services BC / Provincial Court of BC","Provincial Court of BC"
71102,"Blue Sky Properties / Bosa Properties","Blue Sky Properties"
71140,"Pangman Development Corporation / Maclab Development Group / John Day Developments","Pangman Development Corporation"
71153,"Alberta Infrastructure / Covenant Health","Covenant Health"
71181,"ONE Properties / REVOne Westmount LP","ONE Properties"
71192,"K-Days / Northlands Edmonton","Northlands Edmonton"
71196,"Francis Winspear Centre for Music / Edmonton Symphony Orchestra","Francis Winspear Centre for Music"
71320,"Squamish Nation / Hiyam Housing Society","Squamish Nation"
71329,"BC Housing / Connective Support Society","Connective Support Society"
71331,"BC Housing / Archway Community Services","Archway Community Services"
