FamilyKey,Action,LoserId,LoserName,LoserKind,LoserWeight,LoserEnrich,SurvivorId,SurvivorName,SurvivorKind,SurvivorWeight,Confidence,Evidence
"greenleaf restoration arc electric",RETIRE_JV,51159,"GREENLEAF RESTORATION/ARC ELECTRIC",GC,11,0,,,,,Review,"slash-joined JV row; linkWeight=11; project artifact, retire not merge"
"aquilini development aquilini",RETIRE_JV,55047,"Aquilini Development / Aquilini Group",Developer,11,2,,,,,Review,"slash-joined JV row; linkWeight=11; project artifact, retire not merge"
"omicron city of",RETIRE_JV,54512,"Omicron/City of Burnaby",Buyer,10,1,,,,,Review,"slash-joined JV row; linkWeight=10; project artifact, retire not merge"
"itc construction century",RETIRE_JV,53831,"ITC Construction/ Century Group",GC,10,1,,,,,Review,"slash-joined JV row; linkWeight=10; project artifact, retire not merge"
"abm food services bc restaurant",RETIRE_JV,24315,"ABM Food Services/ BC restaurant builders",GC,10,0,,,,,Review,"slash-joined JV row; linkWeight=10; project artifact, retire not merge"
"squamish nation hiyam housing society",RETIRE_JV,71320,"Squamish Nation / Hiyam Housing Society",Buyer,9,1,,,,,Review,"slash-joined JV row; linkWeight=9; project artifact, retire not merge"
"city of portland portland permitting development bureau of development services",RETIRE_JV,73734,"City of Portland — Portland Permitting & Development (PP&D) / Bureau of Development Services",Buyer,9,1,,,,,Review,"slash-joined JV row; linkWeight=9; project artifact, retire not merge"
"acadian construction",RETIRE_JV,50063,"Acadian Construction (1991) Ltd./",GC,8,0,,,,,Review,"slash-joined JV row; linkWeight=8; project artifact, retire not merge"
"general contractors electricians",RETIRE_JV,29393,"General Contractors/Electricians",GC,8,1,,,,,Review,"slash-joined JV row; linkWeight=8; project artifact, retire not merge"
"katz group edmonton arena district",RETIRE_JV,68789,"Katz Group / Edmonton Arena District",Developer,8,1,,,,,Review,"slash-joined JV row; linkWeight=8; project artifact, retire not merge"
"westbank aimco allied",RETIRE_JV,68800,"Westbank / AIMCo / Allied",Developer,8,1,,,,,Review,"slash-joined JV row; linkWeight=8; project artifact, retire not merge"
"silverbirch hotels and resorts marriott",RETIRE_JV,53448,"Silverbirch Hotels and Resorts / Marriott",Developer,8,1,,,,,Review,"slash-joined JV row; linkWeight=8; project artifact, retire not merge"
"ice district stantec",RETIRE_JV,68803,"ICE District / Stantec",Developer,8,1,,,,,Review,"slash-joined JV row; linkWeight=8; project artifact, retire not merge"
"khowutzun development corporation bc builds",RETIRE_JV,55035,"Khowutzun Development Corporation (KDLLP) + BC Builds",Developer,8,2,,,,,Review,"slash-joined JV row; linkWeight=8; project artifact, retire not merge"
"alberta transportation city of",RETIRE_JV,68806,"Alberta Transportation / City of Calgary",Buyer,8,1,,,,,Review,"slash-joined JV row; linkWeight=8; project artifact, retire not merge"
"groupe germain hospitalite homes by avi",RETIRE_JV,53267,"Groupe Germain Hospitalite / Homes by Avi",Buyer,8,1,,,,,Review,"slash-joined JV row; linkWeight=8; project artifact, retire not merge"
"beacon private",RETIRE_JV,68823,"Beacon / private",Developer,8,1,,,,,Review,"slash-joined JV row; linkWeight=8; project artifact, retire not merge"
"ravi sandhu ravi",RETIRE_JV,20289,"Ravi Sandhu / Ravi Construction",GC,8,0,,,,,Review,"slash-joined JV row; linkWeight=8; project artifact, retire not merge"
"platt whitelaw",RETIRE_JV,68909,"Platt/Whitelaw Architects",Architect,8,2,,,,,Review,"slash-joined JV row; linkWeight=8; project artifact, retire not merge"
"saucier perrotte stantec",RETIRE_JV,68900,"Saucier + Perrotte + Stantec",Architect,7,2,,,,,Review,"slash-joined JV row; linkWeight=7; project artifact, retire not merge"
"james km cheng architects adamson",RETIRE_JV,69251,"James KM Cheng Architects / Adamson Associates Architects",Architect,7,3,,,,,Review,"slash-joined JV row; linkWeight=7; project artifact, retire not merge"
"cenovus h r reit",RETIRE_JV,68798,"Cenovus / H&R REIT (orig. EnCana)",Developer,7,1,,,,,Review,"slash-joined JV row; linkWeight=7; project artifact, retire not merge"
"perkins will kpmb",RETIRE_JV,69260,"Perkins&Will / KPMB Architects",Architect,7,3,,,,,Review,"slash-joined JV row; linkWeight=7; project artifact, retire not merge"
"pickard chilton skb",RETIRE_JV,68737,"Pickard Chilton / SkB Architects",Architect,7,2,,,,,Review,"slash-joined JV row; linkWeight=7; project artifact, retire not merge"
"genstar development co limited madison",RETIRE_JV,54116,"Genstar Development Co Limited/Madison Group",Developer,7,2,,,,,Review,"slash-joined JV row; linkWeight=7; project artifact, retire not merge"
"nait government of",RETIRE_JV,68807,"NAIT / Government of Alberta",Developer,7,1,,,,,Review,"slash-joined JV row; linkWeight=7; project artifact, retire not merge"
"alexander manor holdings jta",RETIRE_JV,55119,"Alexander Manor Holdings / JTA Development Consultants",Developer,7,2,,,,,Review,"slash-joined JV row; linkWeight=7; project artifact, retire not merge"
"greyback construction greyback",RETIRE_JV,55053,"Greyback Construction / Greyback Developments",GC,7,3,,,,,Review,"slash-joined JV row; linkWeight=7; project artifact, retire not merge"
"oma lmn",RETIRE_JV,68727,"OMA / LMN Architects",Architect,7,2,,,,,Review,"slash-joined JV row; linkWeight=7; project artifact, retire not merge"
"ausenco associated",RETIRE_JV,71040,"Ausenco / Associated Engineering",Competitor,7,1,,,,,Review,"slash-joined JV row; linkWeight=7; project artifact, retire not merge"
"five mile holdings jta",RETIRE_JV,55113,"Five Mile Holdings / JTA Development Consultants",Developer,7,2,,,,,Review,"slash-joined JV row; linkWeight=7; project artifact, retire not merge"
"hillwood investment properties highfield investment",RETIRE_JV,53266,"Hillwood Investment Properties / Highfield Investment Group",Developer,7,1,,,,,Review,"slash-joined JV row; linkWeight=7; project artifact, retire not merge"
"alberta health services alberta infrastructure",RETIRE_JV,74166,"Alberta Health Services / Alberta Infrastructure",Buyer,6,0,,,,,Review,"slash-joined JV row; linkWeight=6; project artifact, retire not merge"
"teeple architects stantec",RETIRE_JV,71500,"Teeple Architects / Stantec",Architect,6,1,,,,,Review,"slash-joined JV row; linkWeight=6; project artifact, retire not merge"
"lasnier wallace construction inc wallace underpinning",RETIRE_JV,29243,"Lasnier Wallace Construction Inc./Wallace Underpinning",GC,6,1,,,,,Review,"slash-joined JV row; linkWeight=6; project artifact, retire not merge"
"designer general contractor",RETIRE_JV,34256,"Designer/General Contractor",GC,6,0,,,,,Review,"slash-joined JV row; linkWeight=6; project artifact, retire not merge"
"baljit vlm construction rakhra",RETIRE_JV,34932,"Baljit / VLM Construction Rakhra",GC,6,0,,,,,Review,"slash-joined JV row; linkWeight=6; project artifact, retire not merge"
"agecare tk eml ps te secw pemc interior health",RETIRE_JV,55033,"AgeCare + Tk̓emlúps te Secwépemc / Interior Health",Developer,6,1,,,,,Review,"slash-joined JV row; linkWeight=6; project artifact, retire not merge"
"north west redwater partnership north west upgrading",RETIRE_JV,53253,"North West Redwater Partnership (Canadian Natural Resources Ltd. (CNRL) / North West Upgrading Inc.)",Developer,6,1,,,,,Review,"slash-joined JV row; linkWeight=6; project artifact, retire not merge"
"king county uw medicine",RETIRE_JV,68735,"King County / UW Medicine",Developer,6,1,,,,,Review,"slash-joined JV row; linkWeight=6; project artifact, retire not merge"
"lucifers house of heat vancouver mist holdings",RETIRE_JV,26715,"lucifers house of heat/ vancouver mist holdings inc",Developer,6,1,,,,,Review,"slash-joined JV row; linkWeight=6; project artifact, retire not merge"
"alberta infrastructure covenant health",RETIRE_JV,72437,"Alberta Infrastructure / Covenant Health",Buyer,6,0,,,,,Review,"slash-joined JV row; linkWeight=6; project artifact, retire not merge"
"transalta midamerican energy holdings",RETIRE_JV,53476,"TransAlta / MidAmerican Energy Holdings",Developer,6,1,,,,,Review,"slash-joined JV row; linkWeight=6; project artifact, retire not merge"
"perkins will baker mcgarva hart",RETIRE_JV,71116,"Perkins+Will (Brentwood, Gilmore) / Baker McGarva Hart Architects (Renfrew, Rupert)",Architect,6,1,,,,,Review,"slash-joined JV row; linkWeight=6; project artifact, retire not merge"
"bosa development embassy",RETIRE_JV,53311,"Bosa Development / Embassy Development",Developer,6,1,,,,,Review,"slash-joined JV row; linkWeight=6; project artifact, retire not merge"
"concert properties peterson",RETIRE_JV,54915,"Concert Properties / Peterson Group",Developer,6,1,,,,,Review,"slash-joined JV row; linkWeight=6; project artifact, retire not merge"
"jta development consultants cypress apartments",RETIRE_JV,55107,"JTA Development Consultants / Cypress Apartments",Developer,6,2,,,,,Review,"slash-joined JV row; linkWeight=6; project artifact, retire not merge"
"nch ay development corporation hiy m housing",RETIRE_JV,55020,"Nch'ḵay̓ Development Corporation + Hiy̓ám̓ Housing",Developer,5,1,,,,,Review,"slash-joined JV row; linkWeight=5; project artifact, retire not merge"
"aryze developments telus",RETIRE_JV,54902,"Aryze Developments/ Telus",Developer,5,1,,,,,Review,"slash-joined JV row; linkWeight=5; project artifact, retire not merge"
"w5 arbutus holdings mondivan",RETIRE_JV,55114,"W5 Arbutus Holdings / Mondivan Properties Corporation",Developer,5,2,,,,,Review,"slash-joined JV row; linkWeight=5; project artifact, retire not merge"
"westbank projects corp crombie reit",RETIRE_JV,54474,"Westbank Projects Corp./ Crombie REIT",Developer,5,1,,,,,Review,"slash-joined JV row; linkWeight=5; project artifact, retire not merge"
"westbank projects corp city of",RETIRE_JV,54061,"Westbank Projects Corp./ City of Vancouver",Buyer,5,2,,,,,Review,"slash-joined JV row; linkWeight=5; project artifact, retire not merge"
"north american development group kerkhoff",RETIRE_JV,54449,"North American Development Group/ Kerkhoff Construction",Developer,5,0,,,,,Review,"slash-joined JV row; linkWeight=5; project artifact, retire not merge"
"brivia group henson",RETIRE_JV,54784,"Brivia Group/ Henson Developments",Developer,5,1,,,,,Review,"slash-joined JV row; linkWeight=5; project artifact, retire not merge"
"mst development corporation aquilini",RETIRE_JV,55017,"MST Development Corporation + Aquilini Development",Developer,5,1,,,,,Review,"slash-joined JV row; linkWeight=5; project artifact, retire not merge"
"island health authority providence living",RETIRE_JV,54799,"Island Health/ Authority Providence Living",Developer,5,1,,,,,Review,"slash-joined JV row; linkWeight=5; project artifact, retire not merge"
"tollestrup construction inc maverick concrete",RETIRE_JV,17084,"Tollestrup Construction (2005) Inc. / Maverick Concrete Ltd.",GC,5,0,,,,,Review,"slash-joined JV row; linkWeight=5; project artifact, retire not merge"
"marriott international new",RETIRE_JV,53415,"Marriott International / New Urban",Developer,5,1,,,,,Review,"slash-joined JV row; linkWeight=5; project artifact, retire not merge"
"fraser health authority bc cancer",RETIRE_JV,72185,"Fraser Health Authority / BC Cancer (PHSA)",Buyer,5,0,,,,,Review,"slash-joined JV row; linkWeight=5; project artifact, retire not merge"
"tsuut ina nation tsuut ina development authority",RETIRE_JV,73946,"Tsuut'ina Nation / Tsuut'ina Development Authority",Buyer,5,1,,,,,Review,"slash-joined JV row; linkWeight=5; project artifact, retire not merge"
"chinook foundation alberta social housing",RETIRE_JV,53265,"Chinook Foundation/ Alberta Social Housing Corp.",Buyer,5,1,,,,,Review,"slash-joined JV row; linkWeight=5; project artifact, retire not merge"
"wamdevelopment group walton development and management",RETIRE_JV,53434,"WamDevelopment Group / Walton Development and Management",Developer,5,1,,,,,Review,"slash-joined JV row; linkWeight=5; project artifact, retire not merge"
"artists urban village arts habitat",RETIRE_JV,53442,"Artists Urban Village / Arts Habitat Edmonton",Developer,5,1,,,,,Review,"slash-joined JV row; linkWeight=5; project artifact, retire not merge"
"field engineering associates roger field",RETIRE_JV,7392,"Field Engineering & Associates / Roger Field Architect Corporation",Architect,5,1,,,,,Review,"slash-joined JV row; linkWeight=5; project artifact, retire not merge"
"restaurant office owner",RETIRE_JV,70959,"Restaurant/Office Owner",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"bloom group nicholson housing society",RETIRE_JV,55118,"The Bloom Group / Nicholson Housing Society",Buyer,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"strand development locarno",RETIRE_JV,71042,"Strand Development / Locarno",Buyer,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"tomo spaces golden",RETIRE_JV,71010,"Tomo Spaces / Golden Properties Ltd.",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"beedie group mec mountain equipment",RETIRE_JV,71006,"Beedie Group (owner) / MEC Mountain Equipment Company (tenant)",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"mcc legacy trust pacific centre for discipleship",RETIRE_JV,71003,"MCC Legacy Trust / Pacific Centre for Discipleship (PCDA)",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"jta development consultants tkt holdings",RETIRE_JV,55120,"JTA Development Consultants / TKT Holdings",Developer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"community land trust vancouver affordable housing agency",RETIRE_JV,70979,"Community Land Trust / Vancouver Affordable Housing Agency",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"seattle center oak view",RETIRE_JV,68714,"Seattle Center / Oak View Group",Developer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"shared services bc provincial court of",RETIRE_JV,71056,"Shared Services BC / Provincial Court of BC",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"ohsu ous psu",RETIRE_JV,68729,"OHSU / OUS / PSU",Developer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"wright runstad company shorenstein",RETIRE_JV,68731,"Wright Runstad & Company / Shorenstein",Developer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"community land trust foundation of bc vaha",RETIRE_JV,70977,"Community Land Trust Foundation of BC / VAHA",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"moriyama teshima architects carscadden stokes mcdonald",RETIRE_JV,70974,"Moriyama Teshima Architects / Carscadden Stokes McDonald Architects",Architect,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"provencher roy associes architectes",RETIRE_JV,56314,"PROVENCHER ROY + ASSOCIES ARCHITECTES INC.",Architect,4,0,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"taholah school district quinault indian nation",RETIRE_JV,70486,"Taholah School District / Quinault Indian Nation",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"scdc city of",RETIRE_JV,55098,"SCDC / City of Surrey",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"morphosis architects francl",RETIRE_JV,70957,"Morphosis Architects / Francl Architecture",Architect,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"nisga a nation rockies lng lp western lng",RETIRE_JV,54833,"Nisga’a Nation/ Rockies LNG LP/ Western LNG",Developer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"kohn pedersen fox associates adamson",RETIRE_JV,54845,"Kohn Pedersen Fox Associates/Adamson Associates Architect",Architect,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"capital region housing corporation bc housing",RETIRE_JV,54867,"Capital Region Housing Corporation (CRHC) /BC Housing",Developer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"alberta infrastructure recovery",RETIRE_JV,72434,"Alberta Infrastructure / Recovery Alberta",Buyer,4,0,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"mst development corporation aquilini",RETIRE_JV,55014,"MST Development Corporation + Aquilini Development (MSTA)",Developer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"musqueam tsleil waututh aquilini",RETIRE_JV,55016,"Musqueam + Tsleil-Waututh + Aquilini Development",Developer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"o a smg",RETIRE_JV,71813,"O/A SMG Builders (Alberta)",GC,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"musqueam capital corporation polygon homes",RETIRE_JV,55021,"Musqueam Capital Corporation + Polygon Homes",Developer,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"takaya developments aquilini",RETIRE_JV,55022,"Takaya Developments + Aquilini Group",Developer,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"penticton indian band development corporation greyback",RETIRE_JV,55029,"Penticton Indian Band Development Corporation + Greyback Construction",Developer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"gibbs gage architects diamond schmitt",RETIRE_JV,71501,"Gibbs Gage Architects / Diamond Schmitt Architects",Architect,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"francis winspear centre for music edmonton symphony orchestra",RETIRE_JV,71196,"Francis Winspear Centre for Music / Edmonton Symphony Orchestra",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"haisla nation pembina pipeline",RETIRE_JV,55039,"Haisla Nation + Pembina Pipeline Corporation",Buyer,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"squiala first nation property development group league assets",RETIRE_JV,55042,"Squiala First Nation + Property Development Group + League Assets",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"k days northlands",RETIRE_JV,71192,"K-Days / Northlands Edmonton",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"one properties revone westmount",RETIRE_JV,71181,"ONE Properties / REVOne Westmount LP",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"cadillac fairview shape",RETIRE_JV,55092,"Cadillac Fairview / Shape Properties",Developer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"pangman development corporation maclab development group john day",RETIRE_JV,71140,"Pangman Development Corporation / Maclab Development Group / John Day Developments",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"bensen manufacturing danet",RETIRE_JV,70946,"Bensen Manufacturing / Danet Interiors",Buyer,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"reliance properties jim pattison",RETIRE_JV,70935,"Reliance Properties / Jim Pattison Developments",Buyer,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"james cheng architects musson cattell mackey partnership stantec",RETIRE_JV,70923,"James Cheng Architects / Musson Cattell Mackey Partnership / Stantec Architecture",Architect,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"l l wat nation l l wat business",RETIRE_JV,69384,"Líl̓wat Nation / Líl̓wat Business Group",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"skidegate band council haida nation",RETIRE_JV,69385,"Skidegate Band Council / Haida Nation",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"haisla nation haisla guxv housing society",RETIRE_JV,69389,"Haisla Nation / Haisla Guxv Housing Society",Buyer,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"gitxaa a nation prince rupert indigenous housing society",RETIRE_JV,69390,"Gitxaała Nation / Prince Rupert Indigenous Housing Society",Buyer,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"province of bc ministry of education",RETIRE_JV,69597,"Province of BC / Ministry of Education",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"frame properties shelbourne dev",RETIRE_JV,70649,"Frame Properties / Shelbourne Dev Corp",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"government of british columbia royal bc museum",RETIRE_JV,70633,"Government of British Columbia / Royal BC Museum",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"cana mortenson",RETIRE_JV,69881,"CANA / Mortenson",GC,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"pheidias project management oberto oberti",RETIRE_JV,69896,"Pheidias Project Management / Oberto Oberti (architect-developer)",Architect,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"ho goon holdings inc metropolitan capital",RETIRE_JV,70619,"Ho Goon Holdings Inc / Metropolitan Capital Partners",Buyer,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"paul merrick merrick",RETIRE_JV,69971,"Paul Merrick / Merrick Architecture",Architect,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"boss developments cube project management",RETIRE_JV,70617,"Boss Developments / Cube Project Management Ltd",Buyer,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"city of duncan parkside academy child care society",RETIRE_JV,69990,"City of Duncan / Parkside Academy Child Care Society",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"british pacific properties beedie living",RETIRE_JV,54810,"British Pacific Properties/ Beedie Living",Developer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"eyameth health society sts ailes nation",RETIRE_JV,70026,"Eyameth' Health Society / Sts'ailes Nation",Buyer,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"summit community services society rocky mountain school district",RETIRE_JV,70067,"Summit Community Services Society / Rocky Mountain School District (SD6)",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"bc children s hospital bc children s hospital foundation",RETIRE_JV,70069,"BC Children's Hospital / BC Children's Hospital Foundation",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"community land trust co operative housing federation of",RETIRE_JV,70072,"Community Land Trust / Co-operative Housing Federation of BC",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"peninsula recreation commission municipality of central saanich",RETIRE_JV,70333,"Peninsula Recreation Commission / Municipality of Central Saanich",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"mclash development ltd 861 865 esquimalt road holdings",RETIRE_JV,70651,"McLash Development Ltd / 861-865 Esquimalt Road Holdings",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"l l wat business group l l wat nation",RETIRE_JV,69383,"Líl̓wat Business Group / Líl̓wat Nation",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"kanaka bar indian band lytton first nation",RETIRE_JV,69372,"Kanaka Bar Indian Band / Lytton First Nation (joint)",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"splatsin development corporation splatsin first nation",RETIRE_JV,69368,"Splatsin Development Corporation / Splatsin First Nation",Buyer,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"nch kay development corporation westbank",RETIRE_JV,70915,"Nch'kay Development Corporation / Westbank",Buyer,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"mount pixel projects westbank",RETIRE_JV,70911,"Mount Pixel Projects / Westbank Corp.",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"james k m cheng architects inc adamson",RETIRE_JV,70896,"James K.M. Cheng Architects Inc. / Adamson Associates Architects",Architect,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"ubc sauder school of business",RETIRE_JV,70886,"UBC / Sauder School of Business",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"vancouver school board city of",RETIRE_JV,70883,"Vancouver School Board / City of Vancouver",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"jawl properties concert properties jv",RETIRE_JV,70807,"Jawl Properties / Concert Properties JV",Buyer,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"greater victoria coalition to end homelessness aryze",RETIRE_JV,70768,"Greater Victoria Coalition to End Homelessness / Aryze Developments",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"district of new hazelton regional district of bulkley nechako",RETIRE_JV,69025,"District of New Hazelton / Regional District of Bulkley-Nechako",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"luxuira developments cook st",RETIRE_JV,70688,"Luxuira Developments / Cook St Properties Ltd",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"plavetic mjp homes",RETIRE_JV,70589,"Plavetic / MJP Homes Ltd",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"bc ministry of transportation bc ferries",RETIRE_JV,69038,"BC Ministry of Transportation / BC Ferries",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"weytk communities inc kerkhoff",RETIRE_JV,70687,"Weytk Communities Inc / Kerkhoff",Buyer,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"tl housing solutions townline housing",RETIRE_JV,70676,"TL Housing Solutions / Townline Housing",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"great gulf dream unlimited",RETIRE_JV,69259,"Great Gulf / Dream Unlimited",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"townline tl housing solutions",RETIRE_JV,70674,"Townline / TL Housing Solutions",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"partnerships bc ministry of technology innovation and citizens services",RETIRE_JV,69267,"Partnerships BC / Ministry of Technology, Innovation and Citizens' Services",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"songhees nation aryze",RETIRE_JV,69355,"Songhees Nation / Aryze Developments",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"okib group of companies okanagan indian band",RETIRE_JV,69365,"OKIB Group of Companies / Okanagan Indian Band",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"eidos architecture faction",RETIRE_JV,70672,"EIDOS Architecture / Faction Architecture Inc.",Architect,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"penticton indian band pibdc",RETIRE_JV,69366,"Penticton Indian Band / PIBDC",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"royal bc museum province of british columbia",RETIRE_JV,69230,"Royal BC Museum / Province of British Columbia",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"smartcentres reit smartstop self storage",RETIRE_JV,70615,"SmartCentres REIT / SmartStop Self-Storage",Buyer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"songhees development corporation bc housing",RETIRE_JV,55034,"Songhees Development Corporation + BC Housing",Developer,4,2,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"prince rupert port authority cn",RETIRE_JV,54798,"Prince Rupert Port Authority/ CN",Developer,4,1,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
"imperial oil city of",RETIRE_JV,53393,"Imperial Oil / City of Calgary",Buyer,4,0,,,,,Review,"slash-joined JV row; linkWeight=4; project artifact, retire not merge"
