FamilyKey,Action,LoserId,LoserName,LoserKind,LoserWeight,LoserEnrich,SurvivorId,SurvivorName,SurvivorKind,SurvivorWeight,Confidence,Evidence
"sea to sky",MERGE,54781,"Sea to Sky Developments",Developer,3,1,26717,"Sea to Sky Architecture inc.",Architect,10,Low,"join=EXACT; BIZNUM-CONFLICT(880187372 vs 708701149)"
"water street",MERGE,33838,"Water Street Engineering Ltd",Competitor,4,1,54309,"Water Street Architecture Inc.",Architect,9,High,"join=EXACT; loser-suppressed"
"seko construction",MERGE,33132,"SEKO Construction (Vancouver) Ltd",GC,4,1,15173,"Seko Construction Ltd",GC,8,Low,"join=EXACT; BIZNUM-CONFLICT(818630733 vs 855527404); loser-suppressed"
"snohetta dialog",MERGE,69830,"Snohetta + DIALOG (JV)",Architect,6,2,69622,"Snohetta + DIALOG",Architect,6,High,"join=EXACT; loser-suppressed"
"cervus contractors equipment",MERGE,4635,"Cervus Contractors Equipment (Bobcat of Calgary)",GC,3,0,4634,"CERVUS CONTRACTORS EQUIPMENT",GC,9,High,"join=EXACT; loser-suppressed"
"stony valley",MERGE,16129,"Stony Valley Contracting Ltd. (Stony Valley Contracting Ltd.)",GC,4,1,16128,"Stony Valley Contracting Ltd.",GC,8,High,"join=EXACT; loser-suppressed"
"fraser region aboriginal friendship centre association",MERGE,71009,"Fraser Region Aboriginal Friendship Centre Association (FRAFCA)",Buyer,4,1,69335,"Fraser Region Aboriginal Friendship Centre Association",Buyer,8,High,"join=EXACT; loser-suppressed"
"shanghai construction",MERGE,71742,"Shanghai Construction (Canada) Group",GC,3,1,15272,"Shanghai Construction Group (Canada) Corporation",GC,9,High,"join=EXACT; loser-suppressed"
"sun rivers",MERGE,69744,"Sun Rivers Development Corporation",Buyer,6,2,54995,"Sun Rivers Development Corporation (SRDC)",Developer,6,High,"join=EXACT; loser-suppressed"
"alberni clayoquot regional district",MERGE,71273,"Alberni-Clayoquot Regional District",Buyer,4,0,70321,"Alberni-Clayoquot Regional District (ACRD)",Buyer,7,High,"join=EXACT; loser-suppressed"
"saucier perrotte",MERGE,74118,"Saucier + Perrotte",Architect,3,0,68818,"Saucier + Perrotte (with Stantec)",Architect,8,High,"join=EXACT; loser-suppressed"
"insights learning and",MERGE,58849,"Insights Learning and Development (Canada) Ltd.",Developer,4,1,60821,"Insights Learning and Development",Developer,6,High,"join=EXACT; loser-suppressed"
"kiewit construction services",MERGE,10325,"Kiewit Construction Services ULC",GC,3,1,71604,"Kiewit Construction Services ULC (Burnaby, BC)",GC,7,High,"join=EXACT; loser-suppressed"
"pillar contracting",MERGE,13422,"Pillar Contracting Ltd. (of Lamont, AB)",GC,3,0,13421,"Pillar Contracting Ltd",GC,7,High,"join=EXACT; loser-suppressed"
"enterprise holdings",MERGE,7006,"Enterprise Holdings Inc. (Enterprise Rent-A-Car)",Developer,3,0,7005,"Enterprise Holdings Inc",Developer,7,High,"join=EXACT; loser-suppressed"
"pgh consulting services",MERGE,70821,"PGH Consulting Services Ltd. (design-build architect)",Architect,4,1,69276,"PGH Consulting Services",GC,6,High,"join=EXACT; loser-suppressed"
"sdae development",MERGE,32683,"SDAE Development (Canada) Co. Ltd.",Developer,6,1,70906,"SDAE Development Co.",Buyer,4,High,"join=EXACT; loser-suppressed"
"sprague rosser",MERGE,15834,"Sprague-Rosser Contracting Co. Ltd. (Sprague-Rosser Contracting)",GC,3,0,15833,"Sprague-Rosser Contracting Co. Ltd.",GC,7,High,"join=EXACT; loser-suppressed"
"infracon construction",MERGE,71794,"Infracon Construction Inc. (Infracon Prairies)",GC,4,0,44325,"INFRACON CONSTRUCTION INC",GC,6,High,"join=EXACT; loser-suppressed"
"chief construction",MERGE,4780,"Chief Construction Company Ltd. (General Contractor)",GC,4,0,4779,"Chief Construction Company Ltd.",GC,6,High,"join=EXACT; loser-suppressed"
"good brothers",MERGE,8284,"Good Brothers Construction Ltd",GC,4,1,8283,"Good Brothers Construction (2002) Ltd",GC,6,High,"join=EXACT; loser-suppressed"
"kwikwetlem first nation",MERGE,55026,"Kwikwetlem First Nation",Buyer,3,1,54991,"Kwikwetlem First Nation (Land Code)",Developer,7,High,"join=EXACT; loser-suppressed"
"wrd borger",MERGE,18632,"WRD Borger Construction (Contractor)",GC,3,0,18634,"WRD Borger Construction Ltd.",GC,7,High,"join=EXACT; loser-suppressed"
"mcnally contracting",MERGE,11569,"McNally Contracting",GC,3,0,11570,"McNally Contracting (2011) Ltd.",GC,7,High,"join=EXACT; loser-suppressed"
"pacific reach",MERGE,55078,"Pacific Reach Properties",Developer,4,2,30792,"Pacific Reach Properties Development",Developer,6,Low,"join=EXACT; BIZNUM-CONFLICT(837527720 vs 833241375); loser-suppressed"
"allied reit",MERGE,69316,"Allied REIT",Buyer,4,1,69444,"Allied REIT Properties",Buyer,5,High,"join=EXACT; loser-suppressed"
"legislative assembly",MERGE,889,"Legislative Assembly Office",Buyer,4,1,18871,"Legislative Assembly",Buyer,5,High,"join=EXACT; loser-suppressed"
"tech construction",MERGE,43838,"TECH CONSTRUCTION LIMITED",GC,4,1,50747,"TECH CONSTRUCTION (2012) LTD.",GC,5,High,"join=EXACT; loser-suppressed"
"sena solid waste holdings",MERGE,15195,"SENA Solid Waste Holdings Inc. (SENA Waste Services)",Developer,3,0,15194,"SENA Solid Waste Holdings Inc.",Developer,6,High,"join=EXACT; loser-suppressed"
"pwl partnership",MERGE,69843,"PWL Partnership (landscape concept renderings only)",Architect,4,1,71445,"PWL PARTNERSHIP LANDSCAPE ARCHITECTS INC.",Architect,5,High,"join=EXACT; loser-suppressed"
"g w cox",MERGE,7879,"G.W. Cox Construction Ltd. (general)",GC,3,0,7862,"G. W. Cox Construction (of Lethbridge, AB)",GC,3,High,"join=EXACT; loser-suppressed"
"g w cox",MERGE,7880,"G.W. Cox Construction Ltd. (of Lethbridge, AB)",GC,3,0,7862,"G. W. Cox Construction (of Lethbridge, AB)",GC,3,High,"join=EXACT; loser-suppressed"
"mcrobie architects interior",MERGE,67962,"MCROBIE ARCHITECTS & INTERIOR DESIGNERS INC.",Architect,4,1,67852,"MCROBIE ARCHITECTS & INTERIOR",Architect,5,High,"join=EXACT; loser-suppressed"
"evi holdings",MERGE,7205,"EVI Holdings Inc.",Developer,3,0,7204,"EVI Holdings INC (Echo Valley Irrigation)",Developer,5,High,"join=EXACT; loser-suppressed"
"sn hetta dialog",MERGE,68794,"Snøhetta + DIALOG (JV)",Architect,4,1,69295,"Snøhetta + DIALOG",Architect,4,High,"join=EXACT; loser-suppressed"
"wesbridge construction",MERGE,18184,"Wesbridge Construction Limited (of Lethbridge, AB)",GC,3,0,18183,"wesbridge Construction",GC,5,High,"join=EXACT; loser-suppressed"
"jesco electrical",MERGE,9960,"JESCO Electrical Contractors Ltd. (JESCO Electrical Contractors Ltd.)",GC,3,0,9959,"JESCO Electrical Contractors Ltd.",GC,5,High,"join=EXACT; loser-suppressed"
"vancouver resource society",MERGE,70782,"Vancouver Resource Society (VRS Communities)",Buyer,4,1,54522,"Vancouver Resource Society",Buyer,4,High,"join=EXACT; loser-suppressed"
"upa construction",MERGE,17628,"UPA Construction (AB) Ltd.",GC,3,1,29632,"UPA Construction Group (BC) Ltd",GC,5,Low,"join=EXACT; BIZNUM-CONFLICT(842937716 vs 830859864); loser-suppressed"
"wells construction division of lafarge",MERGE,18177,"Wells Construction, Division of Lafarge Inc.",GC,3,0,18175,"Wells Construction, Division of Lafarge Canada Inc.",GC,5,High,"join=EXACT; loser-suppressed"
"elite construction",MERGE,51935,"ELITE CONSTRUCTION INC",GC,3,1,6830,"Elite Construction Interiors Inc",GC,4,High,"join=EXACT; loser-suppressed"
"molnar group",MERGE,22258,"The Molnar Group (Real Estate) Inc",Developer,4,1,54734,"Molnar Group",Developer,3,High,"join=EXACT; loser-suppressed"
"laforce construction",MERGE,71605,"Laforce Construction (1984) Ltd. (Alberta)",GC,3,0,10640,"Laforce Construction (1984) Ltd.",GC,4,High,"join=EXACT; loser-suppressed"
"circle square",MERGE,51738,"CIRCLE SQUARE CONSTRUCTION LTD",GC,3,0,29433,"CIRCLE SQUARE DEVELOPMENTS LTD",Developer,4,High,"join=EXACT; loser-suppressed"
"various",MERGE,72224,"Various (part of design-build contracts)",Architect,2,0,17746,"various",Vendor,3,High,"join=EXACT; loser-suppressed"
"various",MERGE,72262,"Various (per developer)",Architect,2,0,17746,"various",Vendor,3,High,"join=EXACT; loser-suppressed"
"western recreation",MERGE,18318,"Western Recreation & Development Inc",Developer,3,0,18319,"Western Recreation & Development Inc (Pool, Waterslide, Spray Park Contractor)",Developer,4,High,"join=EXACT; loser-suppressed"
"western bioenergy",MERGE,54283,"Western Bioenergy Inc. (subsidiary of Dalkia Canada)",Developer,3,0,53885,"Western Bioenergy Inc.",Buyer,4,High,"join=EXACT; loser-suppressed"
"abaca landscaping",MERGE,32206,"ABACA Landscaping & Construction Consulting Ltd",GC,3,0,32204,"Abaca Landscaping & Construction Ltd.",GC,4,High,"join=EXACT; loser-suppressed"
"uniglobe construction management",MERGE,17532,"Uniglobe Construction & Management Inc.",GC,3,0,17531,"UNIGLOBE CONSTRUCTION & MANAGEMENT (GENERAL CONTACTOR)",GC,4,High,"join=EXACT; loser-suppressed"
"stober group",MERGE,54738,"The Stober Group",Developer,3,1,70564,"Stober Group",Buyer,4,High,"join=EXACT; loser-suppressed"
"w a p fernando",MERGE,46260,"W.A.P Fernando Construction Company(Pvt)Ltd",GC,3,0,45837,"W.A.P Fernando Construction Company",GC,4,High,"join=EXACT; loser-suppressed"
"revive construction",MERGE,14387,"Revive Construction Inc.",GC,3,1,71755,"Revive Construction (Alberta)",GC,4,High,"join=EXACT; loser-suppressed"
"hybrid construction",MERGE,47291,"The Hybrid Construction Group Ltd.",GC,3,0,41242,"HYBRID CONSTRUCTION",GC,4,High,"join=EXACT; loser-suppressed"
"dew engineering and",MERGE,63159,"DEW Engineering and Development ULC",Developer,3,1,49242,"DEW ENGINEERING AND",Competitor,4,High,"join=EXACT; loser-suppressed"
"westcan acs",MERGE,18250,"WESTCAN-ACS (trunked, SCADA, two-way, broadband, microwave, engineering & design)",Competitor,3,0,18249,"WESTCAN-ACS (Communications: wireless engineering, SCADA, towers, two-way, broadband, microwave)",Competitor,3,High,"join=EXACT; loser-suppressed"
"information engineering",MERGE,9448,"Information Engineering Group Inc. (of Montreal, PQ)",Competitor,3,0,9447,"Information Engineering Group (IEG)",Competitor,3,High,"join=EXACT; loser-suppressed"
"true north",MERGE,51595,"TRUE NORTH PROPERTIES GROUP LTD",Developer,3,0,71967,"True North Engineering Ltd.",Competitor,3,High,"join=EXACT; loser-suppressed"
"le roux road",MERGE,10770,"Le Roux Road Construction Ltd. (Jetpatcher Alberta)",GC,3,0,10769,"Le Roux Road Construction Ltd.",GC,3,High,"join=EXACT; loser-suppressed"
"orca west",MERGE,53950,"Orca West Developments Ltd.",Developer,3,1,69810,"Orca West Development",Buyer,3,High,"join=EXACT; loser-suppressed"
"van rooyen",MERGE,71695,"Van Rooyen Construction (Alberta) Ltd (Alberta)",GC,3,0,17725,"Van Rooyen Construction (Alberta) Ltd",GC,3,High,"join=EXACT; loser-suppressed"
"beedie living",MERGE,72247,"Beedie Living",Developer,2,1,28694,"Beedie Living Construction Ltd.",GC,4,Low,"join=EXACT; BIZNUM-CONFLICT(812056646 vs 734183015); loser-suppressed"
"darwin construction",MERGE,72222,"Darwin Construction",GC,2,0,30386,"Darwin Construction (Canada) Ltd",GC,4,High,"join=EXACT"
"manshield construction",MERGE,11303,"Manshield Construction (General Contractor)",GC,3,0,11301,"Manshield (ALTA) Construction",GC,3,High,"join=EXACT; loser-suppressed"
"keegan holdings",MERGE,10233,"Keegan Holdings Ltd. (Bath Fitter)",Developer,3,0,10232,"Keegan Holdings Ltd.",Developer,3,High,"join=EXACT; loser-suppressed"
"prairie view holdings",MERGE,13627,"Prairie View Holdings Ltd (Budget Rent a Car of Calgary)",Developer,3,0,13626,"Prairie View Holdings Ltd",Developer,3,High,"join=EXACT; loser-suppressed"
"unitech construction management",MERGE,71905,"Unitech Construction Management Alberta Ltd",GC,3,1,70562,"Unitech Construction Management Ltd.",GC,3,High,"join=EXACT; loser-suppressed"
"not separately identified",MERGE,72183,"Not separately identified",Architect,2,0,72180,"Not separately identified (EllisDon design-build)",Architect,2,High,"join=EXACT"
"not separately identified",MERGE,72423,"Not separately identified (likely within Zeidler's integrated team or Bird Construction's sub-consultant scope)",Competitor,1,0,72180,"Not separately identified (EllisDon design-build)",Architect,2,High,"join=EXACT; loser-suppressed"
"strategic it telecom unit",RETIRE_JV,401,"Strategic / IT / Telecom Unit",Buyer,187,3,,,,,Review,"slash-joined JV row; linkWeight=187; project artifact, retire not merge"
"wow properties mom homes mom homes",RETIRE_JV,20140,"Wow Properties & Mom Homes / MOM Homes Inc.",Developer,106,0,,,,,Review,"slash-joined JV row; linkWeight=106; project artifact, retire not merge"
