Id,OldName,NewName
573,"BC Corrections Ministry of Public Safety and Solicitor General","BC Corrections"
381,"BC Timber Sales Branch Skeena","BC Timber Sales Branch"
801,"Ministry of Forests Regional Operations - Thompson Okanagan","Ministry of Forests"
731,"Ministry of Public Safety and Solicitor General Procurement Services Branch","Ministry of Public Safety and Solicitor General"
707,"Ministry of Transportation and Transit South Coast Regional Office","Ministry of Transportation and Transit"
590,"Ministry of Water, Land and Resource Stewardship Procurement Services Branch","Ministry of Water, Land and Resource Stewardship"
819,"Procurement Services Branch Real Property Division","Real Property Division"
