LoserId,SurvivorId,Note
54472,69589,Musson Cattell Mackay -> Mackey (Deltek bridge surfaced dup)
54558,69704,Barnett Dembeck -> Dembek (Deltek bridge surfaced dup)
70778,69217,Sawchuck -> Sawchuk (Deltek bridge surfaced dup)
53867,69730,Solterra Developments -> Solterra Development Corp. (Deltek bridge surfaced dup)
