LoserId,SurvivorId,Reason
70116,940,1080 ARCHITECTURE PLANNING AND (fragment) -> 1080 Architecture, Planning + Interiors
67978,940,1080 ARCHITECTURE, PLANNING AND INT (fragment) -> 1080 Architecture, Planning + Interiors
68006,940,1080 ARCHITECTURE, PLANNING AND INTERIOR (fragment) -> 1080 Architecture, Planning + Interiors
