Id,NewKind,Name
65309,Architect,"EXA ARCHITECTURE ET DESIGN INC"
7302,Architect,"F.M. D'Ambrosio Architect Inc. (D'Ambrosio Architecture & Urbanism)"
40949,GC,"FACE CONTRACTING LIMITED"
67924,Architect,"FAIRBANK ARCHITECTS LTD."
7350,Architect,"FBM Architecture, Interior Design, Planning"
49990,GC,"Fidelity Engineering & Construction"
7397,Architect,"Field, Field & Field Architecture-Engineering Ltd."
7666,GC,"Fort Lakes Landscaping & Contracting Ltd."
7797,GC,"FRS_General Contracting&Renos Secondary Contractor"
47389,GC,"G & E Contracting LP"
7844,GC,"G & J CONSTRUCTION GROUP LP"
7847,GC,"G & JD Construction Ltd."
43649,GC,"G & P TRUCKING & CONSTRUCTION LTD."
50723,GC,"G E D GENERAL CONTRACTING LIMITED"
44469,GC,"G. TACKABERRY & SONS CONSTRUCTION"
7977,GC,"GCS General Contracting Services Inc."
8027,GC,"General Contracting Services Inc."
25589,Architect,"Gensler Architecture & Design Canada Inc."
25561,Architect,"Giant Union Design Architecture & Planning Ltd."
65029,Architect,"GIBBONS & SNOW ARCHITECTS INC."
8155,GC,"Giles & Sons Contracting ltd"
36582,GC,"Golden Circle Contracting Corp"
8361,GC,"GRAHAM Design Builders LP"
26571,Developer,"GREATVIEW DESIGN & DEVELOPMENT INC"
45737,GC,"Green Top Contracting SARL"
8506,GC,"Greg's Contracting Services Ltd."
32822,Developer,"Gresford development & design Inc."
8533,GC,"Groundhog Soil (Division of RKT Contracting)"
8544,Architect,"Group2 Architecture Engineering Ltd"
64428,Architect,"GROUPE LECLERC ARCHITECTURE +"
37970,Architect,"GUD Architecture & Planning Ltd."
66444,Architect,"Guy Architects Ltd."
8701,GC,"Harder's Trucking Ltd. (Sundre Contracting Company a Div. of Harder's Trucking Ltd.)"
50443,GC,"Hawkins Contracting Services Limite"
43854,GC,"HAWKINS CONTRACTING SERVICES LIMITED"
67290,Architect,"Hopkins Architects Limited"
44258,GC,"HORTON & BOYD CONSTRUCTION"
42671,GC,"HURON DISTRICT CONTRACTING LIMITED"
52960,GC,"HUTTGES RENOVATION & CONTRACTING"
9217,Architect,"IBI Group Architects (Canada) Inc"
9218,Architect,"IBI Group Architects Engineers"
9360,Developer,"Impact Learning & Development, Inc."
9379,GC,"In Line Contracting Partnership"
9446,GC,"INFORMATION BUILDERS (CANADA) INC"
37460,Developer,"Initia Real Estate & Developments"
9489,GC,"In-Line Contracting Parnership"
62998,Developer,"INSIGHTS DISCOVERY LEARNING & DEVELOPMENT LTD."
59175,Developer,"INSIGHTS LEARNING & DEVELOPMENT"
67056,Developer,"INSIGHTS LEARNING & DEVELOPMENT (C)"
9819,GC,"J & C Master Contracting Inc."
42882,GC,"J & T CONSTRUCTION LTD"
9841,GC,"J.C.A.C. Contracting Services Inc. (Jonathan Cummings)"
9851,GC,"J.T. Setters & Sons Construction Ltd."
63259,Architect,"JEFFREY ARCHITECTS 12336"
63913,GC,"JIL ENGINEERING & CONSTRUCTION LTD."
10015,GC,"Joel's Contracting Services"
10023,Architect,"John Murray Architects Ltd. (John Murray Architectural Associates)"
51198,Architect,"JOST ARCHITECTS LIMITED"
55225,Architect,"JULIAN SMITH & ASSOCIATES, ARCHITECTS"
52881,GC,"K & B CONTRACTING"
10123,GC,"K. Shaw & Sons Contracting (2009) Ltd."
10124,GC,"K. Shaw & Sons Contracting Ltd."
10128,GC,"K.M. Contracting Primary"
23782,Architect,"Kasian Architecture Int. Design"
10225,Architect,"KDW Architecture Professional Services Ine"
26304,Architect,"Kenneth E. King Architecture & Planning"
10309,GC,"Kichton Contracting ?Bid has not been reviewed for compliance.?"
10310,GC,"Kichton Contracting 1963 Ltd."
10312,GC,"Kichton Contracting Ltd. Task I Task III & Task IV"
25809,Architect,"KMBR Architects Planner Inc."
48848,GC,"K'OMOK LP & LEIGHTON CONTRACTING"
10546,GC,"KSN Contracting Service Ltd."
10548,GC,"KSN Contracting Services Ltd"
10549,GC,"KSN Contracting Services Ltd. (KSN Contracting Services Ltd.)"
10624,GC,"Lafarge Canada Inc. (TBG Contracting Division of Lafarge Canada Inc.)"
10642,GC,"Lafrentz Road Marking a Division of Canadian Road Builders (Lafrentz Road Marking)"
10646,GC,"Lafrentz Road Marking A Division of Canadian Road Builders Inc. (Lafrentz Road Marking) Based on the highest average score Lafretz was awarded the"
10798,Architect,"LeBlond Partnership Architects & Planners"
47047,GC,"Leighton contracting (2009) Ltd"
10868,Architect,"Lemay Architecture & Design Ltd."
10869,Architect,"Lemco Architecture & Design Ltd"
43886,GC,"LESLIE & BENN CONTRACTING LIMITED"
47393,GC,"Levesque & Associes Construction Inc."
52703,GC,"LEWIS BROS CONTRACTING LIMITED"
32087,Architect,"Linden Architecture Studio Ltd"
51527,GC,"LINGAN BUILDERS (1996) LIMITED"
48252,GC,"LiteSide Contracting/Bhullar Holdings Inc"
25708,Architect,"Living Radius Architecture & Interior Design Inc."
46762,GC,"LNLEY CONTRACTING SERVICES"
11029,GC,"Lockerbie & Hole Contracting Ltd."
11041,Architect,"LOLA Architectures"
52230,GC,"LONG & PARKS CONSTRUCTION INC."
52208,GC,"Looby Builders (Dublin) Limited"
52429,GC,"LUTZ CONSULTING & CONTRACTING LTD."
46569,GC,"Lynley Contracting Services Ltd."
47594,GC,"M.E. Phillips & Son Construction Ltd"
50707,Architect,"MACFAWN & ROGERS ARCHITECTS LTD"
52097,GC,"Major'S Contracting Limited"
11270,GC,"malcolm contracting 2004 ltd"
11288,Architect,"MANASC ISAAC ARCHITECTS LTD"
48804,GC,"MARTIN BROTHERS CONTRACTING LIMITED"
11536,Architect,"MCKAY HLAVACEK ARCHITECTS LTD"
11570,GC,"McNally Contracting (2011) Ltd."
67852,Architect,"MCROBIE ARCHITECTS & INTERIOR"
67962,Architect,"MCROBIE ARCHITECTS & INTERIOR DESIGNERS INC."
51415,GC,"METRIC CONTRACTING SERVICES"
59377,Architect,"MGP ARCHITECTS-ENGINEERS INC."
52877,GC,"MICHAEL & MARK CONSTRUCTION"
11806,GC,"MID WEST DESIGN & CONSTRUCTION LTD"
45318,GC,"Millenium Contracting Co."
33492,GC,"Modern Metro Contracting Corp."
50401,GC,"MONTGOMERY MACEWEN CONTRACTING LIMI"
66443,Architect,"MORIYAMA & TESHIMA, ARCHITECTS"
49585,GC,"MRP BUILDERS-ENGINEERS INC."
66354,Architect,"MTA Urban Design Architecture Inter"
12107,Architect,"MTA Urban Design Architecture Interior Design Inc."
22980,Developer,"Multani & Calderia Developments"
12197,GC,"N.L. Smith & Sons Construction Ltd"
50148,GC,"NAPPAQ DESIGN & CONSTRUCTION LTD."
12234,GC,"Nason Contracting Group Ltd"
51859,GC,"NCL - NORTHERN CONTRACTING LIMITED"
48960,GC,"NORLON BUILDERS LONDON LIMITED"
46132,Architect,"NORR ARCHITECTS & ENGINEERS LIMITED"
45354,Architect,"NORR Limited, Architects and"
43889,GC,"NORTHERN CONTRACTING LIMITED"
12561,GC,"Northern Road Builders GP Ltd."
63390,Architect,"NumberTen Architecture Group"
45329,GC,"NY BUILDERS SOLUTIONS INC"
21058,Architect,"Oberto Oberti Architecture & Urban Design Inc."
12813,Architect,"Omicron Architecture Engineering Ltd."
18968,GC,"One Design & Contracting"
12951,GC,"Orintel Landscaping & Construction Ltd."
61026,Architect,"Orton Architects PTE Ltd"
12993,Developer,"Outcome Facilitation & Project Development"
42886,GC,"PARTON & SON CONSTRUCTION"
49836,GC,"PDR Contracting Thunder Bay Ltd"
49661,GC,"Peak Engineering & Construction"
23402,Architect,"Peter Rose Architecture & Interiors Inc."
45496,GC,"PETROKIMA ENG & CONTRACTING S.A.E"
13380,Architect,"PGA Architects Ltd."
20789,GC,"Praise Design & Construction Inc."
53033,GC,"PRESTIGE DESIGN & CONSTRUCTION LTD"
13766,GC,"Professional Excavators & Construction Inc"
45664,GC,"PROJECT BUILDERS S.A."
26052,Developer,"Project Manager, CAS Construction & Development Inc"
24120,Architect,"Prospect & Refuge Landscape Architects Ltd."
27247,Architect,"Quadrangle Architects Ltd."
45500,GC,"Qualibuild Contracting and"
13978,GC,"Questic Contracting Ltd (Park, Playground & Spraypark Contracting & Consulting)"
13988,Architect,"Quinn Young Architects Ltd"
34968,GC,"R & A Makena Construction Inc."
48894,GC,"R & D Construction Ltd"
46113,GC,"R & K Construction Ltd"
38214,GC,"R & M CONSTRUCTION"
14023,Architect,"R. Saunder Architects Ltd. Awarded for the Westboro Elementary school only"
65285,Architect,"R.V.ANDERSON ARCHITECTURE LIMITED"
28888,Architect,"RATIO ARCHITECTURE INTERIOR"
44642,Architect,"RATIO ARCHITECTURE INTERIOR DESIGN"
20545,Architect,"RATIO Architecture, Interior Design, Planning Inc."
67212,Architect,"RAYLEEN HILL ARCHITECTURE +"
26641,Architect,"RBA Architecture Studio"
41854,GC,"RC Construction & Contracting/1044030 Ontario Inc."
45331,GC,"REAZ ENGINEERING & CONSTRUCTION"
14216,GC,"Red A Construction & Aurora Construction Group Ltd."
14298,Architect,"REIMAGINE ARCHITECTS LTD - Manasc Isaac Architects LTD."
25329,GC,"Renovation & Construction"
47511,Architect,"Republic Architectures Incorporated"
52020,Architect,"Richard & Co. Architecture Inc."
14442,GC,"Richert Contracting Operations Inc"
14453,Architect,"Riddell Kurczaba Architecture Engineering Interior Design Ltd."
14528,GC,"Riverside Contracting (Montana), Inc."
14578,Architect,"Robert Pashuk Architecture (Robert Pashuk Architecture)"
62447,GC,"ROCKET BUILDERS CANADA INC."
14619,Architect,"Rockliff Pierzchajlo Architects & Planners Ltd."
14622,Architect,"ROCKLIFF PIERZCHAJLO KROMAN ARCHITECTS LTD."
44597,GC,"ROC-TECH CONTRACTING (2011) LTD"
14724,Architect,"ROUNTHWAITE DICK & HADLEY ARCHITECTS INC."
22689,Architect,"RT Architecture Studio"
14780,GC,"Ruel Bros. Contracting Division of E-Construction Ltd."
46180,GC,"RuLo Contracting Company"
43633,GC,"S&B CONTRACTING SERVICES"
61165,Architect,"Safdie Architects LLC"
50278,GC,"SANTANA CONTRACTING LIMITED"
15003,Architect,"Scatliff+Miller+Murray (Landscape Architects)"
20770,Developer,"Schmidt & Associates Development Planning Ltd"
40131,Architect,"SCHOELER & HEATON ARCHITECTS INC."
21483,Architect,"Scott & Scott Architects"
49960,GC,"SDI Builders 2010 Ltd."
44121,GC,"SEAVIEW CONTRACTING (606550 BC LTD)"
15192,GC,"SeNa Constructors Inc. (Engineering & Constructions)"
66483,Architect,"SENALTEK ARCHITECTURE PLANNING +"
26493,Architect,"SG Architecture & Design INC."
51063,GC,"SHUNDA CONSULTING & CONSTRUCTION"
31930,GC,"Sian Development & Contracting Ltd."
15406,GC,"Silex Contracting (2014) Ltd."
42061,Developer,"SIMAS DESIGN & DEVELOPMENT LTD."
15430,GC,"SIMMONDS CONTRACTING 1469210 ALBERTA LTD."
15443,Architect,"SIMS & SHORTEN Architects Successfully Pre-Qualifed"
67933,Architect,"SITAR & WHITE ARCHITECTURE"
52768,GC,"SKYLINE CONTRACTING LIMITED"
15718,GC,"Southwest Design & Construction Ltd"
15719,GC,"Southwest Design & Construction Ltd. (Same)"
15833,GC,"Sprague-Rosser Contracting Co. Ltd."
15834,GC,"Sprague-Rosser Contracting Co. Ltd. (Sprague-Rosser Contracting)"
67831,Architect,"STEPHENS KOZAK ACI ARCHITECTS AND"
44436,GC,"STRAIT AHEAD GENERAL CONTRACTING LT"
49791,GC,"Strilkiwski Contracting JV Ltd."
48132,GC,"Strong Bros General Contracting/ JV SP Indigenous Services Ltd."
70122,GC,"STRONG BROS. GENERAL CONTRACTING LT"
19836,Architect,"Studio Balcaen Kwan Architecture & Design Inc."
16252,GC,"SUNDRE CONTRACTING CO"
52884,GC,"T & C CONSTRUCTION"
43338,GC,"T & M CONSTRUCTION LTD"
49851,Developer,"T.J. Development & Roofing Ltd."
44911,GC,"T.S. Engineering & Construction Ltd"
19683,Architect,"Table Architecture Collective"
