LoserId,SurvivorId,Reason
379,812,Engineering Engineering Branch Ministry of ForestsSouthern Eng Group -> MoF Southern Engineering Group
522,812,Engineering Branch Ministry of ForestsSouthern Eng Group -> MoF Southern Engineering Group
571,812,Engineering Engineering Branch IRO Ministry of ForestsSouthern Eng Group Thompson/Okanagan -> MoF SEG
701,812,Engineering Engineering Branch IRO Ministry of ForestsSouthern Eng Group -> MoF SEG
732,812,Engineering Branch IRO Ministry of ForestsSouthern Eng Group -> MoF SEG
887,812,Engineering Branch Engineering Services IRO Ministry of ForestsSouthern Eng Group -> MoF SEG
