76412,11319
75607,11319
76900,54943
76844,54943
76689,70621
76301,70621
11574,11573
11575,11573
11576,11573
75568,76157
75876,76157
49807,12004
12006,12004
55012,54982
55014,54982
76206,69275
76486,69275
47376,70041
76154,70041
76731,75619
76131,75619
76697,70734
68865,68972
75552,68972
76220,68972
71476,68972
76020,68972
76260,68972
76265,68972
55121,44
26176,44
70811,13243
76943,13243
68627,13243
75617,13243
20517,13243
75501,13243
47293,13243
51886,13243
76305,13243
55029,69740
76738,69740
54252,54159
76274,54159
54568,53701
54706,53701
54798,53701
40240,48219
47223,48219
47661,48219
333,69127
76159,38972
75559,38972
76393,38972
901,71225
290,72070
53306,340
68919,75560
75685,75560
76643,75560
53894,157
70935,157
63193,42463
47777,42463
75935,38974
76245,38974
72101,14453
49784,14453
71206,14619
14621,14619
372,72044
48413,40996
48571,40996
75874,69425
75902,69425
71610,14787
14788,14787
14789,14787
14791,14787
71482,69781
76396,69781
76398,69781
76319,69781
75790,14910
76005,14910
69140,69141
76807,74068
69139,74060
76811,74060
68900,68818
76310,68818
15243,15241
15244,15241
51063,15370
