75166,68706
75611,68706
73779,76886
76329,76886
77047,15690
15688,15687
15689,15687
16057,16056
75675,16056
76529,76520
75600,76520
75779,76520
76709,54674
75982,54674
76485,68977
76338,68977
75632,54995
76147,54995
55031,54995
16316,16318
16319,16318
76007,69767
76008,69767
76334,75570
76797,75570
52574,49523
51342,49523
71958,16986
16987,16986
16988,16986
69583,68897
76399,68897
28496,22432
22430,22432
36635,15
37255,15
17951,17948
71597,17948
76561,68747
75670,68747
18173,18172
18174,18172
18175,18172
18448,18446
18449,18446
75639,55044
75622,55044
75807,115
76269,115
76865,38975
75551,38975
76867,38975
76275,38975
76288,54931
75825,38935
75895,38935
73674,54936
