EnrichmentId,CanonicalOrgId,ProviderName,ExtractorType,Persons,Affiliations,Signals,Actions,Works,Risks,Narratives,Inserted,Updated,Status,ErrorMessage
72478,168,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,2,0,Persisted,
72479,170,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72480,177,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72481,183,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72482,184,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72483,186,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72484,188,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72485,19,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72486,195,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72487,197,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72488,198,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72489,199,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72490,2,FirmNarrativeHoning,PersonListExtractor,1,1,1,0,0,0,0,0,3,Persisted,
72491,209,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72492,21,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72493,211,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72494,213,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72495,214,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72496,215,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72497,216,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,0,6,Persisted,
72498,217,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72499,218,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72500,22,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,2,2,Persisted,
72501,220,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,0,6,Persisted,
72502,23,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,1,3,Persisted,
72503,230,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72504,231,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72505,232,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72506,25,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,1,3,Persisted,
72507,27,FirmNarrativeHoning,PersonListExtractor,4,4,0,0,0,0,0,0,8,Persisted,
72508,29,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,2,2,Persisted,
72509,3,FirmNarrativeHoning,PersonListExtractor,4,4,0,0,0,0,0,0,8,Persisted,
72510,30,FirmNarrativeHoning,PersonListExtractor,5,5,0,0,0,0,0,0,10,Persisted,
72511,33,FirmNarrativeHoning,PersonListExtractor,6,6,0,0,0,0,0,1,11,Persisted,
72512,35,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,0,Persisted,
72513,36,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72514,37,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,0,Persisted,
72515,38,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72516,40,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72517,41,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,1,3,Persisted,
72518,44,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,3,3,Persisted,
72519,45,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72520,46,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,2,0,Persisted,
72521,47,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,2,0,Persisted,
72522,5,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,0,Persisted,
72523,51,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72524,52,FirmNarrativeHoning,PersonListExtractor,6,6,0,0,0,0,0,1,11,Persisted,
72525,55,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,0,Persisted,
72526,56,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72527,57,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72528,59,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72529,6,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72530,63,FirmNarrativeHoning,PersonListExtractor,4,4,0,0,0,0,0,2,6,Persisted,
72531,64,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,1,3,Persisted,
72532,65,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72533,68,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,0,Persisted,
72534,69,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72535,72,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72536,73,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72537,74,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72538,75,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,0,Persisted,
72539,77,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72540,79,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72541,8,FirmNarrativeHoning,PersonListExtractor,5,5,0,0,0,0,0,1,9,Persisted,
72542,80,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,3,3,Persisted,
72543,81,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72544,82,FirmNarrativeHoning,PersonListExtractor,4,4,1,0,0,0,0,1,8,Persisted,
72545,83,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72546,84,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72547,86,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,1,3,Persisted,
72548,9,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72549,90,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72550,93,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72551,95,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72552,97,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72553,98,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72722,1,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,1,5,Persisted,
72723,101,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,0,6,Persisted,
72724,11697,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,2,4,Persisted,
72725,124,FirmNarrativeHoning,PersonListExtractor,4,4,0,0,0,0,0,5,3,Persisted,
72726,12496,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,3,3,Persisted,
72727,138,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,0,6,Persisted,
72728,140,FirmNarrativeHoning,PersonListExtractor,4,4,0,0,0,0,0,0,8,Persisted,
72729,141,FirmNarrativeHoning,PersonListExtractor,4,4,0,0,0,0,0,0,8,Persisted,
72730,145,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72731,146,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,1,1,Persisted,
72732,14871,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,2,2,Persisted,
72733,151,FirmNarrativeHoning,PersonListExtractor,4,4,1,0,0,0,0,7,2,Persisted,
72734,153,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,2,0,Persisted,
72735,155,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,3,3,Persisted,
72736,156,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72737,160,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,3,3,Persisted,
72738,171,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,1,1,Persisted,
72739,172,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,5,1,Persisted,
72740,173,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,0,6,Persisted,
72741,174,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72742,175,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,0,4,Persisted,
72743,176,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72744,178,FirmNarrativeHoning,PersonListExtractor,4,4,0,0,0,0,0,0,8,Persisted,
72745,185,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72746,18612,FirmNarrativeHoning,PersonListExtractor,3,3,0,0,0,0,0,3,3,Persisted,
72747,187,FirmNarrativeHoning,PersonListExtractor,2,2,0,0,0,0,0,2,2,Persisted,
72748,190,FirmNarrativeHoning,PersonListExtractor,1,1,0,0,0,0,0,0,2,Persisted,
72749,192,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72750,194,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72751,196,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72752,206,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
72753,208,FirmNarrativeHoning,PersonListExtractor,5,5,0,0,0,0,0,0,10,Persisted,
72754,210,FirmNarrativeHoning,PersonListExtractor,0,0,0,0,0,0,0,0,0,Empty,
