TargetOrgId,TargetName,ExistingOrgId,ClendorClientId,DeltekName
69808,Greystar Development,70737,f84e05e9959543c0b00da1752eac4153,Greystar
70878,Grosvenor Americas,208,79ea9a65dcdb4fff9a459bcb3b4dad0c,Grosvenor - Property Americas
71062,Marcon,69659,CL00729,Marcon Developments Ltd.
70689,NORR Architects Planners Inc.,12496,C5694C7A98E947F8AD60B435C38F1E06,NORR Architects Planners
69968,Omicron Architecture Engineering Construction,8,CL00305,Omicron Development Inc.
71061,Polygon,28,CL00334,Polygon Development Ltd.
69631,Shape Properties,69164,cafa11bf21b346af9f037612e07361c0,Shape Architecture Inc.
