OrgId,OrgName,Kind,ClendorClientId,DeltekName,Score
21425,BONA DEVELOPMENT LTD,Developer,CL00047,Bosa Development Corp.,0.938
30543,Boniface Oleksiuk Politano Architects (BOP),Architect,8F14D9B8DFA94767AC9D6C361CFCF8EA,Boniface Oleksiuk Politano Architects,0.902
3550,Boom Construction Ltd.,GC,f854d6d9404a48fe9a2f42161fb6329e,Boas Construction,0.882
70902,Bosa Construction,GC,f854d6d9404a48fe9a2f42161fb6329e,Boas Construction,0.882
41477,BOURGON CONSTRUCTION,GC,25527906151E457AA55F513ADB47A6EA,Boston Construction Corp.,0.85
29066,BOVO Development Ltd.,Developer,CL00047,Bosa Development Corp.,0.875
3624,Boy Construction,GC,f854d6d9404a48fe9a2f42161fb6329e,Boas Construction,0.882
68762,BR2 Architecture Inc.,Architect,e67d66d431ff4d048f38825f63014e2a,BHA Architecture Inc.,0.875
31997,Buland Construction Ltd,GC,ECC73EB173BD40B0BA0764342CE2751A,"Holland Construction, Inc.",0.85
26419,BÜRO47 architecture inc,Architect,7DAB1A117B424F8AB30D6CD56E3723AC,Buro47 Architecture Inc.,0.947
50211,Buus Construction Ltd.,GC,f854d6d9404a48fe9a2f42161fb6329e,Boas Construction,0.882
34512,C & C Construction,GC,126585F35BC54C97B40DDEEDFD881933,CDC Construction Ltd.,0.938
46828,C&S Construction,GC,126585F35BC54C97B40DDEEDFD881933,CDC Construction Ltd.,0.875
72021,C.E.S. Engineering,Competitor,3217C09A4C04498BBF81F4B25C6EFBF8,Creus Engineering,0.882
4021,Caliber Construction,GC,DCC6AEAB0DCD48A1B7ABAD7A8FE6D9C1,Waller Construction Ltd.,0.85
4097,CANA Construction,GC,CL00068,Capo Construction Inc.,0.882
29581,Canado Construction,GC,0a90590b8fc64aaca4d97170a82a4ae9,Chandos Construction,0.85
41030,CANDEV CONSTRUCTION INC.,GC,0a90590b8fc64aaca4d97170a82a4ae9,Chandos Construction,0.85
48608,Canor construction Inc,GC,CL00068,Capo Construction Inc.,0.889
54677,Capital Regional Housing Corp.,Developer,b19ef55866c54bbd96123e12c0fcfffd,Capital Region Housing Corporation,0.917
4320,CAPSA Construction Ltd,GC,CL00068,Capo Construction Inc.,0.889
4328,Carbon Construction Inc.,GC,f33fdcde10c147d7a8a9301060ba3dbf,Castone Construction,0.85
71167,Carlson Construction,GC,CL00104,Dawson Construction Inc.,0.85
51224,CARMONT CONSTRUCTION LTD.,GC,f33fdcde10c147d7a8a9301060ba3dbf,Castone Construction,0.85
36156,Case Construction ltd,GC,CL00068,Capo Construction Inc.,0.882
4444,Casman Construction Ltd,GC,f33fdcde10c147d7a8a9301060ba3dbf,Castone Construction,0.85
28435,Catalyst Community Development Society,Developer,97133B08A60042168EF524301D38196B,Catalyst Community Developments Society,0.974
52222,CCL PROPERTIES LTD,Developer,CL00031,BCL Properties Ltd.,0.929
50838,CCR CONSTRUCTION LTD.,GC,126585F35BC54C97B40DDEEDFD881933,CDC Construction Ltd.,0.875
70867,CDA Architects,Architect,CL00495,NSDA Architects,0.867
