Level,Element,Grade,Change,Category,ConcreteM3,RebarKg
L5 (NT),Slab,C30,(unchanged),4. IFT->IFC coord,173.8,
L6 (NT),Slab,C30,(unchanged),4. IFT->IFC coord,127.7,
L6 (ST),Slab,C30,(unchanged),4. IFT->IFC coord,130.0,
L19 (NT),Slab,C30,Slab thinned 11.81->9.84 in,2. Cadmakers/RFI/SI,165.0,
