Level,Element,Grade,Change,Category,ConcreteM3,RebarKg
L5 (NT),Slab,C30,(unchanged),4. IFT->IFC coord,173.8,
L6 (NT),Slab,C30,(unchanged),4. IFT->IFC coord,127.7,
L6 (ST),Slab,C30,(unchanged),4. IFT->IFC coord,130.0,
L19 (NT),Slab,C30,Floor slab 11.81 in,2. Cadmakers/RFI/SI,195.7,
